,,,,,,,,,,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats
Player,Game,Team,,Opp,Margin,Type,Assisted,Distance,,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Gerald Green,Mar 30 2018,HOU,,PHO,-2,3-pt FG,T. Ariza,23,,28:17,15,5,14,.357,4,11,.364,1,1,1.000,0,0,0,0,5.6
Russell Westbrook  (2),Feb 22 2018,OKC,@,SAC,tied,3-pt FG,C. Anthony,25,,38:22,17,4,14,.286,1,6,.167,8,10,.800,15,11,2,0,13.8
LeBron James  (5),Feb 7 2018,CLE,,MIN,tied,2-pt FG,J. Green,17,,48:19,37,16,22,.727,5,7,.714,0,2,.000,10,15,1,1,36.6
Al Horford  (2),Feb 4 2018,BOS,,POR,-1,2-pt FG,J. Brown,19,,36:17,22,8,12,.667,2,2,1.000,4,4,1.000,10,5,0,2,21.3
Gary Harris,Feb 1 2018,DEN,,OKC,tied,3-pt FG,N. Jokić,24,,37:59,25,9,16,.563,5,9,.556,2,2,1.000,3,3,1,0,18.0
Harrison Barnes  (1),Nov 22 2017,DAL,@,MEM,-2,3-pt FG,D. Smith,29,,34:51,22,9,19,.474,1,3,.333,3,5,.600,9,1,0,0,14.3
Blake Griffin  (2),Oct 26 2017,LAC,@,POR,-2,3-pt FG,unassisted,24,,40:22,25,10,16,.625,2,5,.400,3,8,.375,8,5,1,0,20.1
Eric Gordon,Oct 25 2017,HOU,@,PHI,-2,3-pt FG,J. Harden,23,,39:54,29,7,20,.350,5,16,.313,10,12,.833,4,5,0,0,20.7
Andrew Wiggins  (2),Oct 22 2017,MIN,@,OKC,-1,3-pt FG,unassisted,29,,39:24,27,10,20,.500,2,7,.286,5,8,.625,7,4,2,0,21.3
Joe Johnson  (8),Apr 15 2017 p,UTA,@,LAC,tied,2-pt FG,unassisted,4,,31:17,21,9,14,.643,3,4,.750,0,0,,3,3,3,1,20.1
Noah Vonleh,Apr 10 2017,POR,,SAS,-1,2-pt FG,unassisted,2,,37:03,12,6,9,.667,0,0,,0,0,,11,1,0,0,13.3
D'Angelo Russell,Apr 9 2017,LAL,,MIN,-2,3-pt FG,J. Randle,25,,34:27,16,6,19,.316,2,8,.250,2,2,1.000,4,4,3,0,6.7
Russell Westbrook  (1),Apr 9 2017,OKC,@,DEN,-2,3-pt FG,S. Adams,36,,36:57,50,17,32,.531,5,12,.417,11,11,1.000,16,10,1,0,45.6
Hassan Whiteside,Mar 28 2017,MIA,@,DET,-1,2-pt FG,unassisted,At Rim,,30:03,17,7,13,.538,0,0,,3,4,.750,9,1,0,1,13.8
Brook Lopez,Mar 21 2017,BRK,,DET,tied,2-pt FG,R. Foye,16,,32:53,29,13,24,.542,3,9,.333,0,2,.000,7,1,0,0,18.0
Devin Booker  (2),Mar 11 2017,PHO,@,DAL,tied,2-pt FG,unassisted,19,,34:30,36,12,20,.600,2,5,.400,10,10,1.000,5,2,0,0,28.3
Rudy Gobert,Mar 5 2017,UTA,@,SAC,-1,2-pt FG,unassisted,1,,41:27,16,8,11,.727,0,0,,0,2,.000,23,3,1,3,23.6
Tyler Ulis,Mar 5 2017,PHO,,BOS,tied,3-pt FG,unassisted,25,,33:08,20,8,12,.667,1,1,1.000,3,3,1.000,2,5,1,0,19.1
Devin Booker  (1),Feb 3 2017,PHO,@,SAC,tied,2-pt FG,unassisted,20,,40:51,33,11,24,.458,4,8,.500,7,10,.700,2,2,2,1,21.5
Andrew Wiggins  (1),Jan 24 2017,MIN,@,PHO,-1,2-pt FG,unassisted,18,,38:39,31,11,22,.500,2,4,.500,7,8,.875,6,3,2,0,23.9
Marcus Morris,Jan 21 2017,DET,,WAS,-1,2-pt FG,unassisted,At Rim,,37:40,25,7,17,.412,3,6,.500,8,9,.889,11,3,1,0,22.1
T.J. McConnell,Jan 11 2017,PHI,,NYK,-1,2-pt FG,E. İlyasova,12,,34:04,8,4,6,.667,0,0,,0,0,,6,7,2,0,12.5
Giannis Antetokounmpo,Jan 4 2017,MIL,@,NYK,-1,2-pt FG,unassisted,15,,38:33,27,10,18,.556,1,4,.250,6,7,.857,13,4,1,3,24.4
Jimmy Butler  (1),Dec 28 2016,CHI,,BRK,tied,2-pt FG,unassisted,20,,38:21,40,14,29,.483,1,2,.500,11,11,1.000,10,4,4,0,33.7
Randy Foye  (2),Dec 26 2016,BRK,,CHO,-1,3-pt FG,B. Bogdanović,25,,20:43,3,1,2,.500,1,2,.500,0,0,,1,2,0,0,3.3
Marc Gasol,Nov 8 2016,MEM,,DEN,-1,2-pt FG,V. Carter,3,,30:20,19,9,14,.643,0,1,.000,1,3,.333,2,6,0,1,16.1
Eric Bledsoe,Nov 2 2016,PHO,,POR,tied,3-pt FG,unassisted,25,,39:55,20,7,20,.350,1,4,.250,5,5,1.000,7,4,1,0,11.3
John Henson,Oct 29 2016,MIL,,BRK,tied,2-pt FG,unassisted,1,,20:56,7,3,6,.500,0,0,,1,2,.500,12,3,2,2,11.3
J.J. Redick,Mar 24 2016,LAC,,POR,tied,2-pt FG,C. Paul,20,,25:09,11,5,11,.455,1,3,.333,0,0,,4,0,1,0,5.7
Emmanuel Mudiay,Mar 23 2016,DEN,,PHI,-2,3-pt FG,unassisted,36,,42:02,27,10,23,.435,3,5,.600,4,5,.800,11,4,0,1,20.3
Gordon Hayward  (2),Feb 9 2016,UTA,@,DAL,tied,2-pt FG,unassisted,17,,45:10,20,8,20,.400,0,6,.000,4,5,.800,5,4,1,0,11.5
Joe Johnson  (7),Feb 8 2016,BRK,,DEN,-2,3-pt FG,M. Brown,27,,29:34,12,5,10,.500,2,5,.400,0,0,,3,8,2,0,13.5
Nikola Vučević  (2),Feb 7 2016,ORL,,ATL,tied,2-pt FG,E. Payton,17,,34:48,22,11,19,.579,0,0,,0,0,,9,2,2,0,12.8
Avery Bradley,Feb 5 2016,BOS,@,CLE,-2,3-pt FG,I. Thomas,23,,35:41,14,5,12,.417,4,8,.500,0,0,,3,1,0,1,6.7
Deron Williams,Jan 5 2016,DAL,,SAC,-2,3-pt FG,D. Harris,22,,43:25,25,10,18,.556,3,6,.500,2,4,.500,2,4,2,0,15.2
Cory Joseph,Nov 28 2015,TOR,@,WAS,-1,3-pt FG,unassisted,24,,34:20,12,5,7,.714,2,2,1.000,0,0,,0,6,1,1,11.6
Nikola Vučević  (1),Nov 11 2015,ORL,,LAL,tied,2-pt FG,T. Harris,19,,25:34,18,9,16,.563,0,0,,0,0,,5,2,0,1,13.4
LeBron James  (4),May 10 2015 p,CLE,@,CHI,tied,2-pt FG,M. Dellavedova,21,,43:09,25,10,30,.333,1,7,.143,4,4,1.000,14,8,1,2,11.4
Paul Pierce  (7),May 9 2015 p,WAS,,ATL,tied,2-pt FG,unassisted,21,,25:35,13,5,12,.417,3,7,.429,0,0,,7,1,0,0,6.8
Derrick Rose  (2),May 8 2015 p,CHI,,CLE,tied,3-pt FG,M. Dunleavy,26,,38:43,30,10,26,.385,1,3,.333,9,10,.900,7,7,1,1,20.7
Jerryd Bayless,Apr 25 2015 p,MIL,,CHI,tied,2-pt FG,J. Dudley,1,,25:12,10,3,10,.300,0,1,.000,4,5,.800,3,5,0,0,8.2
Marcus Smart,Apr 4 2015,BOS,@,TOR,-1,2-pt FG,unassisted,1,,31:53,15,6,9,.667,2,5,.400,1,3,.333,4,4,2,1,15.0
Khris Middleton  (2),Mar 24 2015,MIL,,MIA,-2,3-pt FG,Z. Pachulia,24,,39:05,13,5,17,.294,2,8,.250,1,2,.500,4,2,0,0,2.9
Tyler Zeller,Mar 4 2015,BOS,,UTA,-1,2-pt FG,M. Smart,1,,29:48,8,4,8,.500,0,0,,0,2,.000,11,1,1,2,8.6
DeMarcus Cousins,Feb 8 2015,SAC,,PHO,tied,2-pt FG,B. McLemore,19,,36:43,28,13,25,.520,0,0,,2,4,.500,12,2,0,2,14.9
Anthony Davis  (1),Feb 6 2015,NOP,@,OKC,tied,3-pt FG,T. Evans,29,,44:25,41,15,23,.652,1,1,1.000,10,10,1.000,10,3,0,2,34.8
James Harden  (2),Jan 23 2015,HOU,@,PHO,tied,2-pt FG,unassisted,20,,39:48,33,8,18,.444,3,6,.500,14,17,.824,6,10,3,1,30.3
Khris Middleton  (1),Dec 15 2014,MIL,@,PHO,-1,3-pt FG,J. Dudley,25,,28:51,14,6,9,.667,2,3,.667,0,0,,1,3,1,0,10.9
Tobias Harris  (3),Dec 13 2014,ORL,,ATL,-1,2-pt FG,unassisted,14,,39:12,20,7,16,.438,0,3,.000,6,10,.600,6,5,0,3,14.8
Bradley Beal,Dec 10 2014,WAS,@,ORL,tied,2-pt FG,A. Miller,1,,33:54,9,4,8,.500,1,3,.333,0,0,,3,3,0,1,7.1
Blake Griffin  (1),Dec 8 2014,LAC,,PHO,-2,3-pt FG,unassisted,25,,42:32,45,14,24,.583,2,2,1.000,15,17,.882,8,2,1,0,33.2
Kemba Walker  (2),Dec 5 2014,CHO,,NYK,-1,2-pt FG,unassisted,1,,39:03,11,4,15,.267,0,2,.000,3,3,1.000,4,4,1,1,6.8
Monta Ellis  (4),Dec 3 2014,DAL,@,MIL,tied,2-pt FG,unassisted,18,,36:08,23,11,26,.423,0,3,.000,1,1,1.000,2,7,3,1,17.2
Solomon Hill,Nov 19 2014,IND,,CHO,tied,2-pt FG,unassisted,At Rim,,37:30,6,3,8,.375,0,2,.000,0,0,,5,0,0,0,0.5
Trey Burke,Nov 14 2014,UTA,@,NYK,tied,2-pt FG,unassisted,18,,35:22,13,5,9,.556,3,5,.600,0,0,,1,8,0,1,12.9
Courtney Lee,Nov 13 2014,MEM,,SAC,-1,2-pt FG,V. Carter,1,,35:55,16,6,9,.667,1,1,1.000,3,3,1.000,1,3,3,0,15.3
Lance Stephenson,Nov 7 2014,CHO,,ATL,tied,3-pt FG,M. Williams,32,,47:11,17,7,15,.467,1,3,.333,2,2,1.000,13,4,0,0,11.6
Gordon Hayward  (1),Nov 5 2014,UTA,,CLE,tied,2-pt FG,unassisted,20,,36:33,21,7,12,.583,0,1,.000,7,7,1.000,4,7,0,1,17.8
Tobias Harris  (2),Nov 5 2014,ORL,@,PHI,tied,2-pt FG,E. Fournier,20,,36:26,18,8,18,.444,0,3,.000,2,2,1.000,8,1,2,1,12.4
Damian Lillard  (1),May 2 2014 p,POR,,HOU,-2,3-pt FG,N. Batum,25,,43:24,25,8,14,.571,6,10,.600,3,3,1.000,6,3,3,1,21.6
Vince Carter  (5),Apr 26 2014 p,DAL,,SAS,-2,3-pt FG,J. Calderón,22,,22:50,11,3,8,.375,1,3,.333,4,4,1.000,3,1,0,0,7.2
Chris Douglas-Roberts,Apr 14 2014,CHA,@,ATL,tied,2-pt FG,J. McRoberts,6,,23:23,5,2,3,.667,0,1,.000,1,1,1.000,2,1,1,0,4.8
Dion Waiters,Mar 26 2014,CLE,@,DET,-1,2-pt FG,L. Deng,19,,38:32,18,8,20,.400,0,6,.000,2,3,.667,4,4,0,1,10.3
Dirk Nowitzki  (3),Feb 24 2014,DAL,@,NYK,tied,2-pt FG,unassisted,19,,32:26,15,6,13,.462,0,5,.000,3,3,1.000,1,3,2,0,11.3
Tobias Harris  (1),Feb 7 2014,ORL,,OKC,-1,2-pt FG,M. Harkless,2,,34:13,18,6,17,.353,0,1,.000,6,6,1.000,5,2,2,1,13.1
Randy Foye  (1),Feb 3 2014,DEN,,LAC,-2,3-pt FG,unassisted,30,,40:12,14,4,11,.364,2,7,.286,4,5,.800,7,4,1,2,9.6
Evan Turner  (2),Jan 29 2014,PHI,@,BOS,-1,2-pt FG,unassisted,7,,37:56,16,6,17,.353,0,5,.000,4,6,.667,6,8,2,0,14.3
Taj Gibson,Jan 20 2014,CHI,,LAL,tied,2-pt FG,M. Dunleavy,2,,32:00,12,3,11,.273,0,0,,6,7,.857,6,0,2,2,9.7
Andre Iguodala  (5),Jan 3 2014,GSW,@,ATL,-2,3-pt FG,S. Curry,26,,26:48,7,3,5,.600,1,3,.333,0,0,,3,5,1,0,10.5
Joe Johnson  (6),Jan 2 2014,BRK,@,OKC,tied,2-pt FG,unassisted,19,,30:21,9,4,11,.364,1,6,.167,0,0,,4,0,1,0,2.9
Jeff Teague,Dec 26 2013,ATL,@,CLE,tied,2-pt FG,unassisted,20,,48:44,34,14,24,.583,1,4,.250,5,7,.714,3,14,3,0,28.5
Evan Turner  (1),Dec 20 2013,PHI,,BRK,-1,2-pt FG,unassisted,2,,47:13,29,13,22,.591,1,4,.250,2,3,.667,10,5,1,0,19.9
Kemba Walker  (1),Dec 18 2013,CHA,@,TOR,tied,2-pt FG,J. McRoberts,18,,43:58,29,10,18,.556,4,7,.571,5,7,.714,5,1,3,0,17.2
Al Horford  (1),Dec 13 2013,ATL,,WAS,tied,2-pt FG,P. Antić,11,,41:00,34,15,23,.652,0,0,,4,5,.800,15,2,2,0,31.8
Monta Ellis  (3),Dec 7 2013,DAL,@,POR,tied,2-pt FG,J. Calderón,21,,39:11,20,8,17,.471,2,3,.667,2,2,1.000,1,4,1,0,10.8
Joe Johnson  (5),Nov 15 2013,BRK,@,PHO,tied,2-pt FG,unassisted,1,,44:47,13,6,19,.316,0,4,.000,1,2,.500,5,1,0,0,1.5
Andre Iguodala  (4),Nov 14 2013,GSW,,OKC,-1,2-pt FG,K. Thompson,16,,37:25,14,5,6,.833,2,2,1.000,2,2,1.000,1,9,1,1,18.1
Jeff Green  (3),Nov 9 2013,BOS,@,MIA,-2,3-pt FG,G. Wallace,24,,35:51,24,8,16,.500,5,8,.625,3,5,.600,5,1,0,1,17.7
LeBron James  (3),May 22 2013 p,MIA,,IND,-1,2-pt FG,unassisted,1,,46:33,30,12,24,.500,2,6,.333,4,7,.571,10,10,0,3,24.1
James Harden  (1),Apr 9 2013,HOU,,PHO,tied,3-pt FG,unassisted,25,,44:10,33,9,21,.429,2,8,.250,13,14,.929,6,6,3,1,21.0
Jeff Green  (2),Mar 27 2013,BOS,@,CLE,-1,2-pt FG,A. Bradley,At Rim,,41:26,21,7,18,.389,2,2,1.000,5,8,.625,7,5,2,1,15.1
Monta Ellis  (2),Feb 27 2013,MIL,@,HOU,tied,3-pt FG,B. Jennings,27,,44:37,27,9,24,.375,2,6,.333,7,11,.636,6,13,6,0,25.7
Joe Johnson  (4),Feb 19 2013,BRK,,MIL,tied,2-pt FG,unassisted,14,,44:01,24,10,18,.556,3,5,.600,1,1,1.000,5,5,0,0,21.2
LaMarcus Aldridge  (2),Jan 29 2013,POR,,DAL,tied,2-pt FG,W. Matthews,18,,41:47,29,12,20,.600,1,1,1.000,4,5,.800,13,3,1,2,28.0
DeMar DeRozan,Jan 24 2013,TOR,@,ORL,tied,2-pt FG,unassisted,22,,43:27,22,10,17,.588,0,0,,2,2,1.000,4,7,0,1,18.7
Jordan Crawford,Jan 21 2013,WAS,@,POR,tied,3-pt FG,M. Webster,31,,22:11,13,5,8,.625,3,4,.750,0,0,,1,1,0,0,8.2
James Johnson,Dec 28 2012,SAC,,NYK,-2,3-pt FG,J. Salmons,25,,28:32,17,8,14,.571,1,1,1.000,0,1,.000,7,3,1,1,13.9
J.R. Smith  (2),Dec 26 2012,NYK,@,PHO,tied,2-pt FG,J. Kidd,21,,37:05,27,11,27,.407,0,4,.000,5,6,.833,6,5,5,1,18.3
Joe Johnson  (3),Dec 14 2012,BRK,,DET,tied,2-pt FG,unassisted,23,,51:58,28,12,22,.545,2,7,.286,2,3,.667,4,5,0,0,20.3
Mo Williams  (4),Dec 12 2012,UTA,,SAS,tied,3-pt FG,unassisted,27,,32:02,8,3,9,.333,1,4,.250,1,2,.500,3,4,0,0,3.0
J.R. Smith  (1),Dec 5 2012,NYK,@,CHA,tied,2-pt FG,unassisted,18,,31:43,13,6,16,.375,1,9,.111,0,0,,1,4,1,2,5.1
Brandon Jennings,Nov 3 2012,MIL,,CLE,tied,3-pt FG,M. Dunleavy,26,,37:14,13,5,13,.385,1,5,.200,2,2,1.000,4,13,2,1,14.9
Tony Parker  (2),Nov 1 2012,SAS,,OKC,tied,2-pt FG,D. Green,21,,34:52,14,6,13,.462,1,2,.500,1,2,.500,3,11,0,0,13.7
LaMarcus Aldridge  (1),Apr 6 2012,POR,@,DAL,tied,2-pt FG,unassisted,17,,44:29,25,11,24,.458,0,0,,3,4,.750,12,2,0,1,18.9
Luol Deng,Mar 24 2012,CHI,,TOR,-1,2-pt FG,unassisted,2,,49:33,23,10,24,.417,0,6,.000,3,5,.600,10,4,2,1,18.5
Derrick Rose  (1),Mar 7 2012,CHI,@,MIL,tied,2-pt FG,unassisted,20,,39:17,30,8,22,.364,0,5,.000,14,14,1.000,8,11,1,1,26.0
Luke Ridnour  (2),Feb 22 2012,MIN,,UTA,tied,2-pt FG,J. Barea,8,,34:44,17,5,10,.500,1,3,.333,6,6,1.000,3,6,0,0,15.1
Kevin Love,Jan 20 2012,MIN,@,LAC,tied,3-pt FG,L. Ridnour,28,,36:21,17,5,16,.313,2,3,.667,5,6,.833,14,3,1,0,14.7
Kevin Durant  (3),Dec 29 2011,OKC,,DAL,-1,3-pt FG,T. Sefolosha,28,,41:10,30,10,16,.625,3,5,.600,7,9,.778,11,6,1,2,25.5
Nicolas Batum,Mar 25 2011,POR,,SAS,tied,2-pt FG,A. Miller,At Rim,,32:48,21,7,15,.467,3,7,.429,4,4,1.000,4,1,2,0,17.6
Jameer Nelson,Mar 18 2011,ORL,,DEN,tied,3-pt FG,unassisted,26,,35:10,13,5,12,.417,3,6,.500,0,0,,3,1,2,0,6.4
Al Jefferson,Mar 9 2011,UTA,@,TOR,tied,2-pt FG,unassisted,2,,42:08,34,17,24,.708,0,0,,0,0,,8,2,0,1,27.1
Channing Frye,Feb 27 2011,PHO,@,IND,tied,2-pt FG,S. Nash,23,,42:54,14,5,11,.455,3,7,.429,1,2,.500,10,1,1,1,11.7
Stephen Jackson,Feb 12 2011,CHA,@,ATL,tied,2-pt FG,unassisted,19,,42:57,32,12,24,.500,1,6,.167,7,8,.875,2,1,1,1,20.8
Arron Afflalo,Feb 10 2011,DEN,,DAL,-1,2-pt FG,C. Billups,19,,34:35,24,8,16,.500,4,8,.500,4,4,1.000,3,2,1,0,19.3
Antonio McDyess  (2),Feb 3 2011,SAS,@,LAL,-1,2-pt FG,unassisted,2,,29:36,8,3,10,.300,0,0,,2,2,1.000,8,5,0,1,8.6
Kevin Durant  (2),Jan 22 2011,OKC,,NYK,tied,3-pt FG,unassisted,25,,41:46,30,10,25,.400,3,8,.375,7,7,1.000,12,2,0,0,17.7
Tyreke Evans,Dec 29 2010,SAC,,MEM,-1,3-pt FG,D. Cousins,50,,38:05,21,8,17,.471,2,4,.500,3,5,.600,4,4,2,0,14.1
Mike Dunleavy,Dec 20 2010,IND,,NOH,-1,2-pt FG,unassisted,1,,27:30,8,3,11,.273,0,4,.000,2,2,1.000,3,4,2,1,6.1
Manu Ginóbili,Dec 15 2010,SAS,,MIL,tied,2-pt FG,unassisted,17,,30:29,26,9,13,.692,2,3,.667,6,9,.667,6,4,1,0,20.9
Andrew Bogut  (2),Dec 8 2010,MIL,,IND,tied,2-pt FG,L. Mbah a Moute,2,,37:37,17,5,14,.357,0,0,,7,10,.700,11,1,2,5,15.5
Derek Fisher  (3),Dec 8 2010,LAL,@,LAC,-1,2-pt FG,unassisted,3,,24:19,6,3,6,.500,0,1,.000,0,0,,4,2,2,0,5.0
Carmelo Anthony  (2),Nov 26 2010,DEN,,CHI,-1,2-pt FG,unassisted,23,,39:20,22,7,18,.389,0,1,.000,8,10,.800,6,8,0,1,16.7
Mo Williams  (3),Nov 24 2010,CLE,,MIL,tied,2-pt FG,unassisted,15,,32:36,25,11,22,.500,2,6,.333,1,1,1.000,4,5,1,0,15.9
Rudy Gay  (3),Nov 20 2010,MEM,,MIA,tied,2-pt FG,unassisted,13,,35:16,15,5,13,.385,0,3,.000,5,6,.833,8,2,0,1,8.4
Metta World Peace,May 27 2010 p,LAL,,PHO,tied,2-pt FG,unassisted,At Rim,,31:08,4,2,9,.222,0,3,.000,0,0,,5,2,3,1,2.3
Paul Pierce  (6),Apr 23 2010 p,BOS,@,MIA,tied,2-pt FG,unassisted,21,,43:47,32,11,23,.478,4,10,.400,6,8,.750,8,3,1,0,20.4
Carmelo Anthony  (1),Mar 26 2010,DEN,@,TOR,-1,2-pt FG,C. Billups,18,,40:53,25,10,22,.455,1,4,.250,4,6,.667,8,2,1,0,16.2
Josh Smith,Mar 24 2010,ATL,,ORL,tied,2-pt FG,unassisted,At Rim,,36:40,15,4,10,.400,0,0,,7,9,.778,7,3,1,4,12.6
Joe Johnson  (2),Mar 19 2010,ATL,,CHA,-1,2-pt FG,unassisted,21,,40:57,18,7,21,.333,1,1,1.000,3,4,.750,3,4,3,0,7.4
James Posey  (3),Jan 22 2010,NOH,@,MIN,tied,2-pt FG,unassisted,At Rim,,26:12,6,3,7,.429,0,4,.000,0,0,,3,1,0,0,2.3
Jamal Crawford  (2),Jan 15 2010,ATL,,PHO,-2,3-pt FG,M. Bibby,28,,30:34,21,6,15,.400,2,7,.286,7,7,1.000,1,4,1,0,12.8
Sundiata Gaines,Jan 14 2010,UTA,,CLE,-2,3-pt FG,R. Price,26,,9:25,9,3,3,1.000,1,1,1.000,2,3,.667,1,1,1,0,7.5
Gerald Wallace,Jan 9 2010,CHA,,MEM,tied,2-pt FG,unassisted,At Rim,,43:19,18,8,15,.533,0,2,.000,2,3,.667,8,1,1,3,14.3
Kobe Bryant  (8),Jan 1 2010,LAL,,SAC,-2,3-pt FG,P. Gasol,25,,47:15,39,13,27,.481,5,7,.714,8,11,.727,5,5,1,0,25.9
Baron Davis,Dec 27 2009,LAC,,BOS,tied,2-pt FG,R. Butler,22,,35:54,24,7,11,.636,1,3,.333,9,9,1.000,3,13,3,0,24.1
Kobe Bryant  (7),Dec 16 2009,LAL,@,MIL,-1,2-pt FG,unassisted,15,,49:59,39,13,28,.464,1,3,.333,12,12,1.000,7,4,0,0,20.9
Kobe Bryant  (6),Dec 4 2009,LAL,,MIA,-2,3-pt FG,unassisted,27,,42:18,33,12,25,.480,2,3,.667,7,8,.875,7,3,3,0,24.3
Kevin Garnett  (5),Nov 22 2009,BOS,@,NYK,tied,2-pt FG,P. Pierce,19,,32:21,10,4,15,.267,0,0,,2,2,1.000,7,1,0,0,0.1
Dirk Nowitzki  (2),Nov 16 2009,DAL,@,MIL,tied,2-pt FG,J. Kidd,18,,42:56,32,12,25,.480,1,2,.500,7,8,.875,11,3,2,1,26.2
Damien Wilkins,Oct 28 2009,MIN,,NJN,tied,2-pt FG,unassisted,9,,25:44,12,4,10,.400,0,0,,4,5,.800,10,2,4,0,14.0
LeBron James  (2),May 22 2009 p,CLE,,ORL,-2,3-pt FG,M. Williams,25,,42:32,35,12,23,.522,1,3,.333,10,12,.833,4,5,1,0,22.2
Glen Davis,May 10 2009 p,BOS,@,ORL,-1,2-pt FG,P. Pierce,21,,33:11,21,9,14,.643,0,0,,3,8,.375,6,0,0,0,10.8
Caron Butler  (2),Apr 10 2009,WAS,@,TOR,tied,2-pt FG,unassisted,20,,42:58,21,10,19,.526,0,2,.000,1,1,1.000,5,7,0,0,14.7
Rasual Butler,Mar 31 2009,NOH,@,SAC,-2,3-pt FG,D. Brown,25,,44:22,18,7,16,.438,4,7,.571,0,0,,3,1,1,1,12.9
Andre Iguodala  (3),Mar 17 2009,PHI,@,LAL,-2,3-pt FG,unassisted,25,,45:53,25,9,21,.429,1,7,.143,6,7,.857,2,2,2,1,16.2
Steve Novak,Mar 15 2009,LAC,,NJN,-1,3-pt FG,B. Davis,24,,23:58,21,7,11,.636,7,11,.636,0,0,,3,0,1,0,16.6
Dwyane Wade  (4),Mar 9 2009,MIA,,CHI,tied,3-pt FG,unassisted,24,,49:51,48,15,21,.714,5,6,.833,13,18,.722,6,12,4,3,49.0
Devin Harris  (2),Feb 23 2009,NJN,,PHI,-1,3-pt FG,unassisted,43,,41:42,39,11,22,.500,5,9,.556,12,14,.857,2,8,2,1,31.3
Caron Butler  (1),Feb 8 2009,WAS,,IND,tied,2-pt FG,unassisted,18,,40:18,35,12,24,.500,2,4,.500,9,10,.900,13,3,1,0,27.8
LeBron James  (1),Jan 23 2009,CLE,@,GSW,-1,2-pt FG,unassisted,19,,40:39,32,10,24,.417,2,5,.400,10,16,.625,9,8,3,2,27.5
Jeff Green  (1),Jan 21 2009,OKC,@,GSW,-1,2-pt FG,R. Westbrook,16,,32:14,26,9,14,.643,3,4,.750,5,5,1.000,4,3,0,0,20.3
Dirk Nowitzki  (1),Jan 19 2009,DAL,@,PHI,tied,2-pt FG,unassisted,17,,40:03,24,7,23,.304,0,2,.000,10,10,1.000,6,0,1,0,8.7
Chris Paul,Jan 19 2009,NOH,,IND,tied,3-pt FG,J. Posey,28,,38:58,27,8,15,.533,1,2,.500,10,12,.833,5,9,1,0,20.7
Danny Granger,Jan 7 2009,IND,@,PHO,tied,3-pt FG,M. Dunleavy,27,,37:57,37,13,27,.481,5,11,.455,6,7,.857,5,6,4,1,30.1
Tony Parker  (1),Jan 3 2009,SAS,,PHI,tied,2-pt FG,unassisted,15,,38:18,15,7,17,.412,1,2,.500,0,0,,3,10,0,0,10.2
Vince Carter  (4),Jan 2 2009,NJN,,ATL,-1,3-pt FG,unassisted,33,,42:07,18,6,18,.333,5,7,.714,1,2,.500,4,4,0,2,8.2
Roger Mason,Dec 25 2008,SAS,@,PHO,-2,3-pt FG,T. Parker,22,,26:41,7,3,7,.429,1,2,.500,0,0,,4,0,0,0,4.1
Devin Harris  (1),Dec 23 2008,NJN,@,IND,-1,2-pt FG,unassisted,22,,40:40,29,9,16,.563,0,1,.000,11,12,.917,5,11,2,0,29.6
Troy Murphy,Dec 2 2008,IND,,LAL,-1,2-pt FG,unassisted,1,,37:45,16,7,12,.583,2,4,.500,0,0,,17,3,2,0,18.4
Larry Hughes  (2),Nov 24 2008,CHI,@,UTA,-1,2-pt FG,unassisted,22,,29:28,16,5,10,.500,2,3,.667,4,4,1.000,5,0,1,0,12.9
Brandon Roy,Nov 6 2008,POR,,HOU,-1,3-pt FG,S. Blake,31,,40:07,17,6,18,.333,1,3,.333,4,4,1.000,7,5,1,0,8.0
Rudy Gay  (2),Oct 31 2008,MEM,,ORL,tied,2-pt FG,K. Lowry,18,,43:14,29,11,26,.423,0,4,.000,7,8,.875,4,1,1,2,14.5
Ramon Sessions,Apr 2 2008,MIL,@,WAS,-1,2-pt FG,A. Bogut,20,,24:00,8,4,6,.667,0,0,,0,0,,2,8,2,0,9.0
Michael Redd,Feb 26 2008,MIL,,CLE,tied,3-pt FG,unassisted,27,,40:47,25,7,17,.412,1,4,.250,10,11,.909,2,4,1,0,19.1
DeShawn Stevenson,Feb 25 2008,WAS,@,NOH,tied,3-pt FG,unassisted,25,,36:55,33,11,21,.524,4,10,.400,7,7,1.000,3,1,1,0,22.9
Leon Powe,Feb 8 2008,BOS,@,MIN,tied,2-pt FG,unassisted,At Rim,,27:26,16,8,10,.800,0,0,,0,0,,8,0,0,1,11.9
Peja Stojaković,Feb 6 2008,NOH,@,PHO,tied,2-pt FG,unassisted,22,,47:54,26,12,19,.632,2,3,.667,0,0,,6,0,1,0,20.7
Kevin Martin  (2),Jan 27 2008,SAC,@,SEA,tied,2-pt FG,unassisted,14,,36:23,26,8,17,.471,2,6,.333,8,9,.889,4,4,0,0,17.7
Hedo Türkoğlu,Jan 27 2008,ORL,,BOS,tied,3-pt FG,unassisted,25,,39:34,27,8,18,.444,3,7,.429,8,9,.889,6,3,0,1,18.6
