,,,,,,,,,,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats,Game Stats
Player,Game,Team,,Opp,Margin,Type,Assisted,Distance,,MP,PTS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,GmSc
Ed Conlin  (2),Nov 4 1961,PHW,,DET,tied,2-Pt FG+FT,unassisted,At Rim,,,8,3,,,,,,2,2,1.000,,,,,
Dick Garmaker,Dec 13 1960,NYK,,BOS,tied,2-pt FG,unassisted,At Rim,,,14,6,,,,,,2,2,1.000,,,,,
Gene Shue,Nov 15 1960,DET,N,BOS,-1,2-pt FG,?,,,,26,9,,,,,,8,10,.800,,,,,
Ed Conlin  (1),Oct 28 1960,PHW,,LAL,tied,2-pt FG,G. Rodgers,30,,,10,5,15,.333,,,,0,1,.000,10,0,,,
Tom Heinsohn,Mar 24 1960 p,BOS,@,PHW,tied,2-pt FG,unassisted,At Rim,,31:00,22,7,16,.438,,,,8,10,.800,7,3,,,
Larry Costello,Feb 10 1960,SYR,N,MNL,-1,2-pt FG,unassisted,,,,14,4,,,,,,6,6,1.000,,,,,
Paul Arizin,Dec 6 1959,PHW,,DET,tied,2-pt FG,T. Gola,40,,,33,11,25,.440,,,,11,12,.917,8,1,,,
Kenny Sears,Nov 29 1959,NYK,@,PHW,-1,2-pt FG,J. George,20,,,17,7,14,.500,,,,3,3,1.000,5,1,,,
Cliff Hagan  (2),Mar 11 1959,STL,@,SYR,tied,2-pt FG,?,,,,22,10,,,,,,2,4,.500,11,,,,
Bill Sharman  (3),Feb 11 1959,BOS,,PHW,tied,2-pt FG,B. Cousy,10,,30:00,21,9,22,.409,,,,3,3,1.000,5,3,,,
Ray Felix,Jan 31 1959,NYK,N,SYR,tied,2-pt FG,unassisted,,,,24,10,,,,,,4,7,.571,,,,,
