season	champion	mvp	rookieOfTheYear	mostPoints	mostRebounds	mostAssists
1959	Boston Celtics	B. Pettit	E. Baylor	B. Pettit	B. Russell	B. Cousy
1958	St. Louis Hawks	B. Russell	W. Sauldsberry	G. Yardley	B. Russell	B. Cousy
1957	Boston Celtics	B. Cousy	T. Heinsohn	P. Arizin	M. Stokes	B. Cousy
1956	Philadelphia Warriors	B. Pettit	M. Stokes	B. Pettit	B. Pettit	B. Cousy
1955	Syracuse Nationals		B. Pettit	N. Johnston	N. Johnston	B. Cousy
1954	Minneapolis Lakers		R. Felix	N. Johnston	H. Gallatin	B. Cousy
1953	Minneapolis Lakers		M. Meineke	N. Johnston	G. Mikan	B. Cousy
1952	Minneapolis Lakers		"M. Hutchins,ÊB. Tosheff"	P. Arizin	L. Foust	A. Phillip
1951	Rochester Royals		P. Arizin	G. Mikan	D. Schayes	A. Phillip
1950	Minneapolis Lakers		A. Groza	G. Mikan		D. McGuire
1949	Minneapolis Lakers		H. Shannon	G. Mikan		B. Davies
1948	Baltimore Bullets		P. Hoffman	M. Zaslofsky		H. Dallmar
1947	Philadelphia Warriors			J. Fulks		E. Calverley
