playerName	franchiseName	salary
Trey Lyles	SAS	5500000
Wendell Carter Jr.	ORL	5448840
Zach Collins	POR	5406255
Malik Monk	CHO	5345687
Killian Hayes	DET	5307120
Luke Kennard	LAC	5273826
Ryan Anderson	MIA	5214583
Donovan Mitchell	UTA	5195501
Bam Adebayo	MIA	5115492
Jaxson Hayes	NOP	5105160
Justin Jackson	OKC	5029650
Richaun Holmes	SAC	5005350
Enes Kanter	POR	5005350
Mike Scott	PHI	5005350
Ed Davis	MIN	5005350
Rodney McGruder	DET	5000000
Nerlens Noel	NYK	5000000
Daniel Theis	CHI	5000000
Collin Sexton	CLE	4991880
Luol Deng	LAL	4990000
Pat Connaughton	MIL	4938272
Obi Toppin	NYK	4862040
Kevon Looney	GSW	4821429
Josh Jackson	DET	4767000
Garrett Temple	CHI	4767000
Kris Dunn	ATL	4767000
Elfrid Payton	NYK	5760000
Rui Hachimura	WAS	4692840
Denzel Valentine	CHI	4642800
Kevin Knox	NYK	4588680
D.J. Wilson	HOU	4548280
Deni Avdija	WAS	4469160
Cam Reddish	ATL	4458000
Mikal Bridges	PHO	4359000
T.J. Leaf	OKC	4326825
Jalen Smith	PHO	4245720
Cameron Johnson	PHO	4235160
JaVale McGee	DEN	4200000
Reggie Bullock	NYK	4200000
Shai Gilgeous-Alexander	OKC	4141320
John Collins	ATL	4137302
Nicolò Melli	DAL	4097561
Devin Vassell	SAS	4033440
P.J. Washington	CHO	4023600
Willie Cauley-Stein	DAL	4000000
Dorian Finney-Smith	DAL	4000000
Patrick McCaw	TOR	4000000
Terrance Ferguson	NYK	3944013
Miles Bridges	CHO	3934320
Jarrett Allen	CLE	3909902
OG Anunoby	TOR	3872215
Tyrese Haliburton	SAC	3831840
Tyler Herro	MIA	3822240
Stanley Johnson	TOR	3801000
Jake Layman	MIN	3761085
Jerome Robinson	WAS	3737520
Danuel House	HOU	3717000
Kira Lewis Jr.	NOP	3640200
Romeo Langford	BOS	3631200
Facundo Campazzo	DEN	3623000
Maurice Harkless	SAC	3623000
Bobby Portis	MIL	3623000
Wesley Matthews	LAL	3623000
Kyle Kuzma	LAL	3562178
Michael Porter Jr.	DEN	3550800
Jevon Carter	PHO	3549383
Tony Bradley	OKC	3542060
Derrick White	SAS	3516284
Mirza Teletovi_	MIL	3500000
Boban Marjanovi_	DAL	3500000
T.J. McConnell	IND	3500000
Josh Hart	NOP	3491159
Aaron Nesmith	BOS	3458400
Sekou Doumbouya	DET	3449400
Troy Brown Jr.	CHI	3372840
James Ennis	ORL	3300000
Cole Anthony	ORL	3285120
Zhaire Smith	DET	3204600
Trey Burke	DAL	3174603
Austin Rivers	OKC	3174603
Jon Leuer	MIL	3169348
Chuma Okeke	ORL	3121080
Isaiah Stewart	DET	3121080
Nickeil Alexander-Walker	NOP	3113160
Patrick Patterson	LAC	3814768
Donte DiVincenzo	MIL	3044160
Michael Carter-Williams	ORL	3000000
Khem Birch	ORL	3000000
Ryan Arcidiacono	CHI	3000000
Aleksej Pokusevski	OKC	2964840
Goga Bitadze	IND	2957520
Lonnie Walker	SAS	2892000
Dewayne Dedmon	DET	2866667
Andrew Nicholson	POR	2844429
Luka _amani_	SAS	2824320
Josh Green	DAL	2816760
Kevin Huerter	ATL	2761920
Marko Guduric	MEM	2750000
Alex Caruso	LAL	2750000
Matisse Thybulle	PHI	2711280
Saddiq Bey	DET	2689920
Josh Okogie	MIN	2651040
Vincent Poirier	NYK	2619207
Brandon Clarke	MEM	2602920
Precious Achiuwa	MIA	2582160
Marc Gasol	LAL	2564753
Carmelo Anthony	POR	2564753
Dwight Howard	PHI	2564753
Jeff Teague	ORL	2564753
