playerName	date	winningTeam	opposingTeam	assistedPlayerName	distance																		
Rik Smits	May 29 1995 p	IND	ORL	D. McKey	14																		
Clyde Drexler	Apr 9 1995	HOU	DEN	unassisted	30																		
Chuck Person	Apr 6 1995	SAS	SAC	S. Elliott	20																		
Michael Jordan	Mar 25 1995	CHI	ATL	unassisted	14																		
Sean Elliott	Mar 9 1995	SAS	CLE	D. Rivers	At Rim																		
Nick Van Exel	Jan 20 1995	LAL	BOS	unassisted	26																		
Dee Brown	Jan 15 1995	BOS	SAC	unassisted	At Rim																		
Pooh Richardson	Dec 7 1994	LAC	MIL	L. Murray	20																		
Clyde Drexler	Dec 4 1994	POR	MIL	J. Robinson	26																		
Tony Smith	Nov 18 1994	LAL	CLE	S. Threatt	27																		
Terry Mills	Nov 17 1994	DET	DEN	unassisted	20																		
Toni Kukoč	May 13 1994 p	CHI	NYK	P. Myers	19																		
Chris Mills	Apr 16 1994	CLE	MIL	unassisted	10																		
Donald Royal	Mar 16 1994	ORL	DAL	unassisted	17																		
Toni Kukoč	Jan 21 1994	CHI	IND	S. Pippen	25																		
Latrell Sprewell	Jan 19 1994	GSW	ATL	A. Johnson	23																		
Dana Barros	Jan 14 1994	PHI	IND	J. Hornacek	16																		
Vernon Maxwell	Dec 21 1993	HOU	SAS	unassisted	20																		
Alonzo Mourning	Dec 9 1993	CHH	CLE	L. Johnson	10																		
Horace Grant	Nov 19 1993	CHI	LAL	unassisted	At Rim																		
Elden Campbell	Nov 16 1993	LAL	LAC	J. Worthy	10																		
Mark Aguirre	Nov 5 1993	LAC	POR	M. Jackson	25																		
Michael Jordan	May 17 1993 p	CHI	CLE	unassisted	18																		
Mahmoud Abdul-Rauf	Apr 25 1993	DEN	PHO	unassisted	23																		
Charles Barkley	Apr 22 1993	PHO	POR	unassisted	10																		
Danny Ferry	Apr 10 1993	CLE	NJN	M. Price	17																		
Dan Majerle	Apr 6 1993	PHO	LAL	O. Miller	33																		
Jon Koncak	Jan 19 1993	ATL	CHH	unassisted	At Rim																		
Ron Anderson	Jan 8 1993	PHI	WSB	unassisted	At Rim																		
Gary Grant	Jan 2 1993	LAC	NYK	J. Williams	21																		
Mahmoud Abdul-Rauf	Nov 27 1992	DEN	LAC	unassisted	55																		
Michael Jordan	Nov 11 1992	CHI	DET	unassisted	26																		
Maurice Cheeks	Mar 27 1992	ATL	MIN	unassisted	19																		
Alexander Volkov	Mar 23 1992	ATL	GSW	D. Ferrell	At Rim																		
Hakeem Olajuwon	Feb 26 1992	HOU	GSW	O. Thorpe	21																		
Ricky Pierce	Feb 20 1992	SEA	LAL	N. McMillan	20																		
Pooh Richardson	Feb 13 1992	MIN	DET	T. Campbell	23																		
Detlef Schrempf	Feb 11 1992	IND	ORL	unassisted	18																		
Sam Perkins	Jan 15 1992	LAL	CHH	unassisted	10																		
Larry Johnson	Jan 14 1992	CHH	SEA	K. Gill	17																		
Craig Ehlo	Dec 23 1991	CLE	UTA	B. Daugherty	25																		
Johnny Dawkins	Dec 6 1991	PHI	POR	R. Anderson	27																		
Sedale Threatt	Nov 27 1991	LAL	MIA	unassisted	17																		
Tony Campbell	Apr 21 1991	MIN	WSB	unassisted	17																		
Robert Parish	Mar 29 1991	BOS	CLE	B. Shaw	10																		
Brad Davis	Mar 13 1991	DAL	SEA	unassisted	At Rim																		
Trent Tucker	Mar 6 1991	NYK	DET	C. Oakley	25																		
John Morton	Mar 5 1991	CLE	SEA	unassisted	15																		
Rolando Blackman	Mar 4 1991	DAL	NJN																				
Travis Mays	Feb 12 1991	SAC	LAC	B. Wennington	17																		
Bill Laimbeer	Jan 25 1991	DET	DAL	unassisted	10																		
Fred Roberts	Dec 7 1990	MIL	ATL	unassisted	18																		
Charles Barkley	Dec 4 1990	PHI	MIL																				
Kevin Johnson	Nov 21 1990	PHO	CHI	unassisted	10																		
Michael Jordan	Nov 13 1990	CHI	UTA	unassisted	18																		
Brian Shaw	Nov 6 1990	BOS	CHI	unassisted	At Rim																		
Ken Norman	Nov 4 1990	LAC	GSW	unassisted	20																		
John Paxson	Apr 7 1990	CHI	DAL	M. Jordan	24																		
Sam Mitchell	Mar 30 1990	MIN	DAL	unassisted	10																		
Glen Rice	Mar 5 1990	MIA	UTA	S. Douglas	21																		
Lester Conner	Feb 21 1990	NJN	MIN	unassisted	12																		
Byron Scott	Feb 20 1990	LAL	SAS	unassisted	24																		
Willie Anderson	Feb 17 1990	SAS	HOU		15																		
Derrick McKey	Feb 3 1990	SEA	WSB	unassisted	17																		
Trent Tucker	Jan 15 1990	NYK	CHI	M. Jackson	26																		
Craig Ehlo	Dec 11 1989	CLE	UTA	L. Nance	30																		
Chuck Person	Dec 8 1989	IND	CHI	unassisted	20																		
Dell Curry	Nov 17 1989	CHH	GSW	M. Bogues	24																		
John Stockton	Nov 15 1989	UTA	CHI	unassisted	At Rim																		
Michael Jordan	May 7 1989 p	CHI	CLE	unassisted	15																		
Derrick McKey	May 5 1989 p	SEA	HOU	N. McMillan	At Rim																		
Adrian Dantley	Apr 2 1989	DAL	MIA	unassisted	18																		
Rik Smits	Mar 27 1989	IND	CLE																				
Magic Johnson	Mar 26 1989	LAL	PHO	unassisted	15																		
Doc Rivers	Mar 19 1989	ATL	LAL	J. Battle	22																		
Rory Sparrow	Feb 17 1989	MIA	CHH	unassisted	15																		
Kurt Rambis	Jan 26 1989	CHH	UTA	unassisted	At Rim																		
Hersey Hawkins	Jan 7 1989	PHI	HOU	M. Gminski	25																		
Scottie Pippen	Dec 29 1988	CHI	NYK	unassisted	10																		
Kurt Rambis	Dec 23 1988	CHH	CHI	unassisted	At Rim																		
Jay Humphries	Dec 11 1988	MIL	LAL	unassisted	16																		
Magic Johnson	Nov 15 1988	LAL	DEN	unassisted	25																		
Mike Mitchell	Apr 21 1988	SAS	HOU	unassisted	15																		
Charles Barkley	Apr 13 1988	PHI	WSB	A. King	29																		
John Long	Apr 11 1988	IND	NJN	unassisted	18																		
Ed Nealy	Mar 25 1988	SAS	DET	J. Sundvold	5																		
Michael Adams	Mar 25 1988	DEN	LAL	unassisted	18																		
Mark Jackson	Mar 1 1988	NYK	IND	unassisted	10																		
Gerald Henderson	Feb 29 1988	PHI	CHI	unassisted	At Rim																		
Jerome Kersey	Feb 27 1988	POR	ATL	unassisted	30																		
Reggie Theus	Feb 16 1988	SAC	ATL	unassisted	29																		
Steve Stipanovich	Feb 11 1988	IND	GSW	unassisted	22																		
Kelly Tripucka	Feb 4 1988	UTA	POR	unassisted	22																		
Steve Harris	Jan 20 1988	GSW	NJN	unassisted	6																		
Reggie Theus	Jan 2 1988	SAC	UTA	unassisted	17																		
Clyde Drexler	Jan 1 1988	POR	PHI	unassisted	At Rim																		
Magic Johnson	Dec 11 1987	LAL	BOS	unassisted	22																		
Tyrone Corbin	Dec 5 1987	CLE	LAL	unassisted	At Rim																		
Nate McMillan	Nov 20 1987	SEA	MIL	unassisted	5																		
Darren Daye	Nov 18 1987	BOS	NYK	unassisted	At Rim																		
Rodney McCray	Nov 15 1987	HOU	SEA	unassisted	20																		
Larry Bird	Nov 7 1987	BOS	WSB	D. Ainge	23																		
Alvin Robertson	Feb 26 1987	SAS	PHI	J. Dawkins	26																		
Jack Sikma	Feb 12 1987	MIL	SEA	unassisted	At Rim																		
Mike Sanders	Jan 24 1987	PHO	IND	unassisted	6																		
Louis Orr	Jan 19 1987	NYK	BOS	unassisted	22																		
Isiah Thomas	Dec 27 1986	DET	WSB	unassisted	22																		
Danny Schayes	Dec 27 1986	DEN	SAS																				
Patrick Ewing	Dec 25 1986	NYK	CHI	unassisted	10																		
Darrell Griffith	Dec 16 1986	UTA	WSB	K. Tripucka	26																		
Fat Lever	Nov 26 1986	DEN	CHI	unassisted	8																		
Chuck Person	Nov 15 1986	IND	MIL	H. Williams	33																		
Darrell Griffith	Nov 11 1986	UTA	DAL	R. Green	33																		
Ralph Sampson	May 21 1986 p	HOU	LAL	R. McCray	10																		
Dudley Bradley	Apr 18 1986 p	WSB	PHI	unassisted	27																		
Julius Erving	Apr 6 1986	PHI	BOS	unassisted	28																		
Joe Barry Carroll	Mar 23 1986	GSW	DEN	G. Ballard	21																		
Julius Erving	Feb 28 1986	PHI	DAL	M. Cheeks	53																		
Sam Perkins	Jan 13 1986	DAL	SEA	unassisted	6																		
Hakeem Olajuwon	Jan 11 1986	HOU	WSB	unassisted	At Rim																		
Ricky Pierce	Dec 28 1985	MIL	CLE	unassisted	At Rim																		
Jim Paxson	Dec 13 1985	POR	GSW	unassisted	25																		
Kiki Vandeweghe	Dec 10 1985	POR	GSW																				
Karl Malone	Nov 25 1985	UTA	IND	unassisted	At Rim																		
Clark Kellogg	Nov 16 1985	IND	BOS	unassisted	5																		
Dennis Johnson	Jun 5 1985 p	BOS	LAL	L. Bird	21																		
Paul Mokeski	Apr 12 1985	MIL	BOS																				
Bill Laimbeer	Apr 10 1985	DET	IND	K. Tripucka	16																		
Walter Davis	Mar 7 1985	PHO	SAS	A. Scott	22																		
Calvin Natt	Mar 2 1985	DEN	MIL		22																		
Larry Bird	Jan 29 1985	BOS	DET	unassisted	6																		
Larry Bird	Jan 27 1985	BOS	POR	unassisted	20																		
Bill Laimbeer	Jan 19 1985	DET	NJN	unassisted	10																		
Mike Evans	Jan 18 1985	DEN	WSB		10																		
Greg Ballard	Jan 16 1985	WSB	UTA	D. Daye	22																		
Kareem Abdul-Jabbar	Jan 6 1985	LAL	SAS	M. Cooper	15																		
Kevin McHale	Dec 9 1984	BOS	ATL	unassisted	At Rim																		
Mike Gminski	Nov 3 1984	NJN	IND	unassisted	18																		
Gus Williams	Apr 19 1984 p	SEA	DAL	D. Vranes	25																		
Bill Laimbeer	Apr 10 1984	DET	IND	I. Thomas	15																		
George Gervin	Mar 27 1984	SAS	GSW	unassisted	25																		
Rolando Blackman	Feb 25 1984	DAL	UTA	unassisted	At Rim																		
Micheal Ray Richardson	Feb 4 1984	NJN	CHI	B. Willoughby	28																		
Eddie Johnson	Feb 3 1984	KCK	NJN	unassisted	16																		
Cliff Robinson	Jan 31 1984	CLE	DET	L. Shelton	25																		
Pat Cummings	Jan 25 1984	DAL	GSW	B. Davis	10																		
Howard Carter	Jan 20 1984	DEN	KCK		32																		
Ray Williams	Jan 14 1984	NYK	CHI																				
Caldwell Jones	Dec 9 1983	HOU	CHI	unassisted	25																		
Buck Williams	Nov 23 1983	NJN	PHO	D. Cook	10																		
Terry Cummings	Nov 20 1983	SDC	CLE	B. Walton	At Rim																		
Orlando Woolridge	Nov 15 1983	CHI	DET	D. Corzine	20																		
Sidney Moncrief	Nov 13 1983	MIL	SEA																				
Robert Parish	Nov 8 1983	BOS	IND	unassisted	5																		
Dan Roundfield	Oct 29 1983	ATL	DET	unassisted	18																		
George Gervin	Apr 6 1983	SAS	PHI	unassisted	27																		
Rory Sparrow	Mar 12 1983	NYK	POR	unassisted	28																		
Larry Bird	Feb 26 1983	BOS	PHO	C. Maxwell	25																		
Cliff Robinson	Feb 23 1983	CLE	GSW	unassisted	At Rim																		
Jay Vincent	Feb 2 1983	DAL	LAL	unassisted	12																		
Joe Bryant	Jan 18 1983	HOU	WSB	unassisted	At Rim																		
Herb Williams	Dec 30 1982	IND	UTA	B. Carter	18																		
Greg Ballard	Dec 27 1982	WSB	CHI	J. Ruland	20																		
Dan Issel	Dec 27 1982	DEN	GSW	R. Williams	20																		
Cliff Robinson	Dec 22 1982	CLE	IND	W. Free	12																		
Lewis Lloyd	Dec 10 1982	GSW	SEA	L. Romar	24																		
Frank Johnson	Nov 26 1982	WSB	IND	unassisted	18																		
Gene Banks	Nov 26 1982	SAS	CHI	B. Willoughby	22																		
Wes Matthews	Nov 9 1982	ATL	DEN	D. Roundfield	30																		
Steve Hawes	Nov 6 1982	ATL	DET	R. Sparrow	22																		
David Thompson	Nov 3 1982	SEA	SAS	G. Williams	28																		
Sidney Moncrief	May 1 1982 p	MIL	PHI	unassisted	5																		
Darnell Valentine	Mar 19 1982	POR	UTA		15																		
Johnny Moore	Mar 14 1982	SAS	CHI	E. Rains	22																		
Gus Williams	Mar 12 1982	SEA	MIL	unassisted	20																		
James Silas	Mar 5 1982	CLE	POR																				
World B. Free	Feb 25 1982	GSW	DAL	unassisted	20																		
Joe Barry Carroll	Feb 2 1982	GSW	LAL																				
Sidney Moncrief	Jan 26 1982	MIL	LAL	unassisted	At Rim																		
Reggie Theus	Jan 23 1982	CHI	NYK	A. Gilmore	20																		
Greg Ballard	Jan 10 1982	WSB	NYK	D. Collins	25																		
World B. Free	Dec 2 1981	GSW	CHI	unassisted	12																		
Rickey Green	Nov 20 1981	UTA	CHI	J. Hardy	22																		
Sonny Parker	Nov 13 1981	GSW	HOU	unassisted	At Rim																		
Alex English	Mar 24 1981	DEN	SAS	unassisted	21																		
James Bailey	Mar 13 1981	SEA	DET	unassisted	6																		
Phil Ford	Feb 18 1981	KCK	BOS	S. Lacey	20																		
Kelvin Ransey	Jan 29 1981	POR	SDC	unassisted	10																		
Jamaal Wilkes	Jan 16 1981	LAL	NJN	N. Nixon	20																		
Billy Ray Bates	Dec 30 1980	POR	PHI	K. Washington	At Rim																		
Micheal Ray Richardson	Nov 29 1980	NYK	POR	unassisted	25																		
James Silas	Nov 29 1980	SAS	KCK																				
Darwin Cook	Oct 31 1980	NJN	WSB	J. van Breda Kolff	20																		
Jamaal Wilkes	Mar 27 1980	LAL	UTA	N. Nixon	20																		
Ricky Sobers	Mar 5 1980	CHI	GSW	unassisted	28																		
Brian Winters	Feb 6 1980	MIL	CLE	Q. Buckner	21																		
Alex English	Jan 27 1980	IND	CLE	unassisted	At Rim																		
Walter Davis	Jan 17 1980	PHO	ATL	unassisted	14																		
Greg Ballard	Jan 5 1980	WSB	UTA	W. Unseld	24																		
Chris Ford	Dec 14 1979	BOS	MIL	C. Maxwell	30																		
World B. Free	Dec 9 1979	SDC	POR	unassisted	22																		
Kevin Grevey	Dec 8 1979	WSB	ATL	W. Unseld	15																		
Micheal Ray Richardson	Dec 5 1979	NYK	WSB	unassisted	At Rim																		
Randy Smith	Nov 29 1979	CLE	NYK	unassisted	At Rim																		
Calvin Natt	Nov 18 1979	NJN	SAS	E. Jordan	At Rim																		
Moses Malone	Nov 13 1979	HOU	CHI																				
Johnny Davis	Nov 10 1979	IND	GSW	M. Johnson	38																		
Marques Johnson	Nov 3 1979	MIL	CHI	B. Winters	At Rim																		
Randy Smith	Nov 1 1979	CLE	DET	unassisted	20																		
Walter Davis	Oct 28 1979	PHO	POR	A. Adams	18																		
Kermit Washington	Oct 23 1979	POR	KCK	unassisted	At Rim																		
Kareem Abdul-Jabbar	Oct 12 1979	LAL	SDC	unassisted	18																		
Larry Wright	May 20 1979 p	WSB	SEA																				
Moses Malone	Mar 30 1979	HOU	SAS																				
Ron Brewer	Mar 24 1979	POR	KCK																				
Charles Johnson	Feb 13 1979	WSB	SDC	unassisted	25																		
Clifford Ray	Jan 31 1979	GSW	PHI	J. Lucas	At Rim																		
Kermit Washington	Jan 17 1979	SDC	LAL	unassisted	At Rim																		
Tom Boswell	Jan 2 1979	DEN	KCK	unassisted	At Rim																		
George Johnson	Dec 3 1978	NJN	LAL	unassisted	At Rim																		
Marques Johnson	Oct 22 1978	MIL	GSW	J. Gianelli	At Rim																		
Foots Walker	Apr 7 1978	CLE	ATL		18																		
Jack Sikma	Mar 24 1978	SEA	IND	unassisted	25																		
Fred Brown	Mar 11 1978	SEA	HOU	unassisted	At Rim																		
Lionel Hollins	Feb 26 1978	POR	CHI	unassisted	30																		
John Williamson	Feb 12 1978	NJN	NYK	K. Porter	25																		
Tom Henderson	Jan 8 1978	WSB	NJN	unassisted	15																		
Lonnie Shelton	Dec 13 1977	NYK	ATL	unassisted	15																		
Brian Winters	Dec 8 1977	MIL	GSW		28																		
Pete Maravich	Nov 24 1977	NOJ	DEN	unassisted	At Rim																		
Jo Jo White	Apr 17 1977 p	BOS	PHI	unassisted	18																		
Truck Robinson	Mar 22 1977	ATL	BUF	S. Hawes	17																		
Quinn Buckner	Mar 12 1977	MIL	IND		20																		
John Drew	Mar 8 1977	ATL	PHI	L. Hudson	21																		
Swen Nater	Feb 17 1977	MIL	GSW	D. Meyers	10																		
Walt Frazier	Dec 18 1976	NYK	CLE	unassisted	At Rim																		
Artis Gilmore	Dec 17 1976	CHI	SAS	M. Johnson	At Rim																		
Ken Charles	Dec 14 1976	ATL	LAL	unassisted	20																		
Brian Taylor	Nov 23 1976	KCK	NYK																				
John Johnson	Nov 20 1976	HOU	KCK	J. Lucas	15																		
Rich Jones	Oct 22 1976	NYN	GSW	J. van Breda Kolff	20																		
Jim Cleamons	Apr 22 1976 p	CLE	WSB	unassisted	At Rim																		
World B. Free	Apr 2 1976	PHI	WSB	unassisted	22																		
Elvin Hayes	Feb 29 1976	WSB	HOU	W. Unseld	20																		
Curtis Perry	Feb 21 1976	PHO	HOU	unassisted	8																		
Slick Watts	Feb 15 1976	SEA	DET	unassisted	28																		
George Johnson	Feb 14 1976	GSW	DET																				
Kareem Abdul-Jabbar	Jan 13 1976	LAL	CHI	unassisted	15																		
Tom Burleson	Jan 9 1976	SEA	PHO	unassisted	At Rim																		
Bob McAdoo	Jan 6 1976	BUF	LAL		24																		
Jack Marin	Jan 5 1976	CHI	HOU	unassisted	12																		
Mike Newlin	Nov 29 1975	HOU	PHI		20																		
Fred Carter	Nov 25 1975	PHI	GSW	unassisted	25																		
Jim Brewer	Mar 16 1975	CLE	NOJ	unassisted	At Rim																		
Tiny Archibald	Mar 6 1975	KCO	BUF	R. Behagen	30																		
Phil Chenier	Feb 6 1975	WSB	GSW																				
John Gianelli	Jan 30 1975	NYK	ATL	W. Frazier	At Rim																		
Jon McGlocklin	Jan 27 1975	MIL	NOJ	M. Davis	20																		
Walt Frazier	Jan 4 1975	NYK	CLE	E. Monroe	20																		
Paul Westphal	Dec 14 1974	BOS	ATL	D. Nelson	30																		
Charles Johnson	Oct 25 1974	GSW	POR	C. Ray	18																		
Jo Jo White	Apr 12 1974 p	BOS	BUF																				
Jim McMillian	Apr 6 1974 p	BUF	BOS	unassisted	At Rim																		
Fred Brown	Mar 23 1974	SEA	GSW	W. Hazzard	20																		
Barry Clemens	Mar 15 1974	CLE	BOS	unassisted	28																		
Rick Barry	Mar 7 1974	GSW	MIL	J. Mullins	24																		
Jerry Sloan	Feb 15 1974	CHI	MIL	N. Van Lier	18																		
George Trapp	Feb 5 1974	DET	POR		25																		
Bob Weiss	Feb 5 1974	CHI	BOS	B. Love	20																		
Rick Barry	Jan 31 1974	GSW	HOU	C. Johnson	28																		
Jerry West	Jan 18 1974	LAL	KCO	C. Hawkins	21																		
Jim Price	Dec 18 1973	LAL	MIL	B. Bridges	25																		
Jimmy Walker	Dec 16 1973	KCO	DET	D. Kojis	12																		
Bob Love	Nov 24 1973	CHI	DET	N. Van Lier	22																		
Howard Komives	Jan 18 1973	BUF	ATL																				
Earl Monroe	Jan 12 1973	NYK	HOU	unassisted	10																		
Dave DeBusschere	Dec 30 1972	NYK	BAL	E. Monroe	20																		
Don May	Dec 27 1972	ATL	PHI	unassisted	10																		
John Brisker	Nov 18 1972	SEA	POR	unassisted	20																		
Rick Barry	Oct 16 1972	GSW	BAL	unassisted	At Rim																		
Dick Snyder	Feb 16 1972	SEA	BOS	B. Clemens	25																		
Wes Unseld	Jan 26 1972	BAL	BUF	G. Johnson	At Rim																		
Dick Van Arsdale	Jan 11 1972	PHO	MIL																				
Jimmy Walker	Jan 2 1972	DET	HOU	unassisted	16																		
Walt Wesley	Dec 28 1971	CLE	POR																				
John Havlicek	Dec 27 1971	BOS	GSW	D. Nelson	25																		
Elvin Hayes	Dec 12 1971	HOU	SEA	D. Gibbs	15																		
John Havlicek	Nov 5 1971	BOS	DET	J. White	40																		
Bob Kauffman	Oct 29 1971	BUF	POR	unassisted	At Rim																		
Connie Hawkins	Oct 29 1971	PHO	PHI	P. Silas	28																		
Don May	Oct 29 1971	ATL	CLE	B. Bridges	35																		
Dave Sorenson	Jan 25 1971	CLE	BOS	J. Johnson	22																		
George Wilson	Dec 15 1970	BUF	LAL		30																		
Walt Bellamy	Nov 13 1970	ATL	BOS	B. Bridges	At Rim																		
Happy Hairston	Jan 24 1970	LAL	SEA	J. Egan	At Rim																		
Willis Reed	Dec 25 1969	NYK	DET	W. Frazier	At Rim																		
Clem Haskins	Dec 6 1969	CHI	BOS	A. Tucker	40																		
Hal Greer	Dec 5 1969	PHI	BOS	B. Cunningham	At Rim																		
Don Kojis	Nov 10 1969	SDR	SFW		30																		
Stan McKenzie	Nov 7 1969	PHO	LAL	unassisted	18																		
Elvin Hayes	Apr 4 1969 p	SDR	ATL		18																		
Jim Washington	Mar 4 1969	CHI	PHI	unassisted	10																		
Bob Rule	Feb 23 1969	SEA	BOS	L. Wilkens	35																		
Zelmo Beaty	Dec 29 1968	ATL	BAL	unassisted	18																		
Gus Johnson	Nov 23 1968	BAL	DET	unassisted	At Rim																		
Bailey Howell	Feb 7 1968	BOS	STL	L. Siegfried	At Rim																		
Cazzie Russell	Jan 31 1968	NYK	CIN	unassisted	12																		
Bob Boozer	Dec 8 1967	CHI	SEA	unassisted	At Rim																		
Bud Olsen	Nov 19 1967	SEA	DET	unassisted	At Rim																		
Dick Snyder	Nov 11 1967	STL	SFW	unassisted	At Rim																		
Cazzie Russell	Oct 17 1967	NYK	SFW		30																		
Bob Boozer	Jan 20 1967	CHI	DET																				
Richie Guerin	Jan 2 1967	STL	DET	unassisted	25																		
Richie Guerin	Dec 15 1966	STL	BOS	unassisted	At Rim																		
Fred Hetzel	Dec 9 1966	SFW	LAL	N. Thurmond	15																		
Bill Bridges	Dec 2 1966	STL	NYK	unassisted	14																		
Jim King	Nov 26 1966	SFW	CHI	N. Thurmond	30																		
Wilt Chamberlain	Dec 29 1965	PHI	DET																				
Oscar Robertson	Dec 26 1965	CIN	STL	unassisted	6																		
Guy Rodgers	Nov 12 1965	SFW	DET																				
Jim Barnes	Mar 9 1965	NYK	PHI	unassisted	At Rim																		
Cliff Hagan	Mar 6 1965	STL	LAL	unassisted	At Rim																		
Jerry West	Mar 3 1965	LAL	BOS	W. Hazzard	20																		
Bob Boozer	Jan 15 1965	NYK	SFW	unassisted	At Rim																		
Ray Scott	Nov 20 1964	DET	BAL	D. Butcher	20																		
Bob Pettit	Nov 1 1964	STL	LAL																				
Elgin Baylor	Mar 25 1964 p	LAL	STL	unassisted	22																		
Wilt Chamberlain	Dec 28 1963	SFW	BAL	A. Attles	12																		
Hal Greer	Nov 26 1963	PHI	BAL	unassisted	25																		
Jerry West	Apr 2 1963 p	LAL	STL	unassisted	15																		
Wilt Chamberlain	Feb 19 1963	SFW	LAL	G. Rodgers	12																		
Cliff Hagan	Feb 13 1963	STL	NYK		30																		
Jerry West	Apr 10 1962 p	LAL	BOS	unassisted	At Rim																		
Ed Conlin	Nov 4 1961	PHW	DET	unassisted	At Rim																		
Dick Garmaker	Dec 13 1960	NYK	BOS	unassisted	At Rim																		
Gene Shue	Nov 15 1960	DET	BOS																				
Ed Conlin	Oct 28 1960	PHW	LAL	G. Rodgers	30																		
Tom Heinsohn	Mar 24 1960 p	BOS	PHW	unassisted	At Rim																		
Larry Costello	Feb 10 1960	SYR	MNL	unassisted																			
Paul Arizin	Dec 6 1959	PHW	DET	T. Gola	40																		
Kenny Sears	Nov 29 1959	NYK	PHW	J. George	20																		
Cliff Hagan	Mar 11 1959	STL	SYR																				
Bill Sharman	Feb 11 1959	BOS	PHW	B. Cousy	10																		
Ray Felix	Jan 31 1959	NYK	SYR	unassisted																			
Walter Dukes	Feb 16 1958	DET	STL	unassisted	At Rim																		
Neil Johnston	Jan 17 1958	PHW	NYK	unassisted	15																		
Cliff Hagan	Apr 11 1957 p	STL	BOS	unassisted	At Rim																		
Dolph Schayes	Mar 9 1957	SYR	BOS	unassisted	17																		
Bob Harrison	Feb 23 1957	SYR	MNL		40																		
Bill Sharman	Dec 22 1956	BOS	STL	B. Cousy	15																		
Bob Harrison	Feb 20 1956	STL	FTW		30																		
Bob Cousy	Feb 9 1956	BOS	SYR	unassisted																			
Bob Pettit	Feb 8 1956	STL	BOS	unassisted	At Rim																		
Richie Regan	Dec 10 1955	ROC	FTW		25																		
Jim Tucker	Nov 5 1955	SYR	FTW	P. Seymour																			
Dick Farley	Feb 19 1955	SYR	NYK	P. Seymour	35																		
Jim Baechtold	Feb 13 1955	NYK	BOS	unassisted	15																		
Dolph Schayes	Jan 19 1955	SYR	PHW																				
Vern Mikkelsen	Dec 8 1954	MNL	BOS																				
Odie Spears	Dec 5 1954	ROC	FTW																				
Cal Christensen	Oct 30 1954	ROC	BOS																				
Irv Bemoras	Feb 23 1954	MLH	SYR	B. Tosheff	At Rim																		
Irv Bemoras	Feb 21 1954	MLH	FTW																				
Carl Braun	Jan 22 1954	NYK	PHW																				
Wally Osterkorn	Jan 16 1954	SYR	ROC	unassisted	10																		
Carl Braun	Dec 19 1953	NYK	BLB	unassisted																			
Mel Payton	Mar 13 1953	INO	MLH																				
Arnie Risen	Mar 8 1953	ROC	FTW		15																		
George Ratkovicz	Feb 11 1953	MLH	INO		25																		
Vince Boryla	Jan 27 1953	NYK	ROC		40																		
Andy Phillip	Dec 27 1952	FTW	NYK		At Rim																		
Bill Sharman	Nov 23 1952	BOS	ROC	B. Brannum	17																		
Don Barksdale	Nov 22 1952	BLB	PHW	unassisted	At Rim																		
Andy Phillip	Nov 1 1952	PHW	SYR	unassisted	45																		
Arnie Johnson	Mar 13 1952	ROC	FTW	B. Davies	At Rim																		
Neil Johnston	Feb 26 1952	PHW	INO	W. Budko	At Rim																		
Jack Coleman	Feb 14 1952	ROC	SYR	unassisted	At Rim																		
Andy Phillip	Feb 1 1952	PHW	BLB	unassisted	At Rim																		
Vince Boryla	Dec 18 1951	NYK	MNL	C. Simmons	30																		
Chuck Cooper	Feb 21 1951	BOS	NYK	S. Hertzberg	20																		
Ralph Beard	Feb 13 1951	INO	FTW	B. Lavoy	45																		
Arnie Johnson	Jan 10 1951	ROC	BLB																				
Ralph Beard	Jan 6 1951	INO	ROC	P. Walther	At Rim																		
Dolph Schayes	Jan 6 1951	SYR	NYK		10																		
Jack Coleman	Nov 29 1950	ROC	WSC	unassisted	At Rim																		
Johnny Payak	Mar 19 1950	WAT	TRI	unassisted	8																		
Carl Braun	Mar 8 1950	NYK	STB	E. Vandeweghe	35																		
Andy Duncan	Feb 26 1950	ROC	STB	unassisted	At Rim																		
Charlie Black	Jan 18 1950	FTW	SHE																				
Carl Braun	Jan 14 1950	NYK	BOS	E. Vandeweghe																			
Dick McGuire	Dec 10 1949	NYK	CHS	unassisted	At Rim																		
Herm Schaefer	Feb 26 1949	MNL	BLB																				
Belus Smawley	Nov 25 1948	STB	PRO		50																		
John Logan	Feb 26 1948	STB	BOS		45																		
Bob Feerick	Jan 22 1947	WSC	PHW																				
John Barr	Dec 10 1946	STB	CLR	A. Davis	45																		
