playerName,salary,season,,,,,
P.J. Tucker,5300000,2016-17,,,,,
Evan Fournier,17000000,2016-17,,,,,
Dirk Nowitzki,25000000,2016-17,,,,,
DeMarcus Cousins,16957900,2016-17,,,,,
Metta World Peace,1551659,2016-17,,,,,
Gary Harris,1655880,2016-17,,,,,
Wesley Johnson,5628000,2016-17,,,,,
Ricky Rubio,13550000,2016-17,,,,,
DeAndre Liggins,1015696,2016-17,,,,,
Henry Ellenson,1704120,2016-17,,,,,
Norris Cole,247991,2016-17,,,,,
Dorian Finney-Smith,543471,2016-17,,,,,
Matt Barnes,6125000,2016-17,,,,,
Leandro Barbosa,4000000,2016-17,,,,,
Dennis Schroder,2708582,2016-17,,,,,
Kevin Durant,26540100,2016-17,,,,,
T.J. McConnell,874636,2016-17,,,,,
Ben Bentil,250000,2016-17,,,,,
Jeff Withey,1015696,2016-17,,,,,
Aaron Gordon,4351320,2016-17,,,,,
Malcolm Delaney,2500000,2016-17,,,,,
Daniel Ochefu,543471,2016-17,,,,,
Jarell Eddie,175000,2016-17,,,,,
Tyson Chandler,12415000,2016-17,,,,,
Tyler Zeller,8000000,2016-17,,,,,
Matt Barnes,383351,2016-17,,,,,
Klay Thompson,16663575,2016-17,,,,,
Raymond Felton,1551659,2016-17,,,,,
Tony Allen,5505618,2016-17,,,,,
Andrew Nicholson,6088993,2016-17,,,,,
Ben Bentil,50000,2016-17,,,,,
Ish Smith,6000000,2016-17,,,,,
Lance Thomas,6191000,2016-17,,,,,
Festus Ezeli,7400000,2016-17,,,,,
Jaylen Brown,4743000,2016-17,,,,,
Joffrey Lauvergne,1709720,2016-17,,,,,
Marcus Georges-Hunt,31969,2016-17,,,,,
Otto Porter,5893981,2016-17,,,,,
Al-Farouq Aminu,7680965,2016-17,,,,,
Jarell Eddie,102898,2016-17,,,,,
Andrew Wiggins,6006600,2016-17,,,,,
Jamal Crawford,13253012,2016-17,,,,,
Reggie Williams,252676,2016-17,,,,,
Denzel Valentine,2092200,2016-17,,,,,
Aaron Harrison,375579,2016-17,,,,,
JaMychal Green,980431,2016-17,,,,,
Chris Paul,22868827,2016-17,,,,,
Cole Aldrich,7643979,2016-17,,,,,
Zaza Pachulia,2898000,2016-17,,,,,
Cheick Diallo,543471,2016-17,,,,,
David Lee,1551659,2016-17,,,,,
Mike Tobey,138938,2016-17,,,,,
Ben Bentil,31969,2016-17,,,,,
Gordon Hayward,16073140,2016-17,,,,,
Domantas Sabonis,2440200,2016-17,,,,,
Michael Carter-Williams,3183526,2016-17,,,,,
Tarik Black,6191000,2016-17,,,,,
Marcus Georges-Hunt,31969,2016-17,,,,,
Marcus Georges-Hunt,25000,2016-17,,,,,
Deyonta Davis,1369229,2016-17,,,,,
Jordan Hill,3911380,2016-17,,,,,
Nerlens Noel,4384490,2016-17,,,,,
Jeremy Lamb,6511628,2016-17,,,,,
Josh Richardson,874636,2016-17,,,,,
Miles Plumlee,12500000,2016-17,,,,,
Matthew Dellavedova,9607500,2016-17,,,,,
Wesley Matthews,17100000,2016-17,,,,,
Reggie Williams,50000,2016-17,,,,,
Andre Roberson,2183072,2016-17,,,,,
Jon Leuer,10991957,2016-17,,,,,
Omer Asik,9904494,2016-17,,,,,
Dionte Christmas,50000,2016-17,,,,,
Jared Dudley,10470000,2016-17,,,,,
Tyler Ennis,1733880,2016-17,,,,,
Joe Harris,980431,2016-17,,,,,
Nick Young,5443918,2016-17,,,,,
Nikola Jokic,1358500,2016-17,,,,,
Marcin Gortat,12000000,2016-17,,,,,
Derrick Favors,11050000,2016-17,,,,,
Marcus Morris,4625000,2016-17,,,,,
Andrew Harrison,945000,2016-17,,,,,
Luke Babbitt,1227000,2016-17,,,,,
Norman Powell,874636,2016-17,,,,,
Isaiah Whitehead,1074145,2016-17,,,,,
Elfrid Payton,2613600,2016-17,,,,,
Troy Daniels,3332940,2016-17,,,,,
Jusuf Nurkic,1921320,2016-17,,,,,
Robert Covington,1015696,2016-17,,,,,
Nicolas Batum,20869566,2016-17,,,,,
Georgios Papagiannis,2202240,2016-17,,,,,
Greivis Vasquez,4347826,2016-17,,,,,
Axel Toupane,51449,2016-17,,,,,
Alec Burks,10154495,2016-17,,,,,
Malachi Richardson,1439880,2016-17,,,,,
Omri Casspi,3000000,2016-17,,,,,
Bradley Beal,22116750,2016-17,,,,,
Joel Anthony,663810,2016-17,,,,,
Al Jefferson,10230179,2016-17,,,,,
Pablo Prigioni,1050961,2016-17,,,,,
Rakeem Christmas,1052342,2016-17,,,,,
Dwyane Wade,23200000,2016-17,,,,,
Jamaal Franklin,163296,2016-17,,,,,
Chasson Randle,297311,2016-17,,,,,
Kyle O'Quinn,3900000,2016-17,,,,,
Eric Bledsoe,14000000,2016-17,,,,,
Robin Lopez,13219250,2016-17,,,,,
Stanley Johnson,2969880,2016-17,,,,,
Brice Johnson,1273920,2016-17,,,,,
Kris Humphries,4000000,2016-17,,,,,
Zach LaVine,2240880,2016-17,,,,,
P.J. Hairston,11534,2016-17,,,,,
Monta Ellis,10770000,2016-17,,,,,
Elton Brand,1000000,2016-17,,,,,
Kyle Korver,5239437,2016-17,,,,,
Axel Toupane,20580,2016-17,,,,,
Patrick Patterson,6050000,2016-17,,,,,
D.J. Stephens,35000,2016-17,,,,,
Omri Casspi,138414,2016-17,,,,,
Amir Johnson,12000000,2016-17,,,,,
Dewayne Dedmon,2898000,2016-17,,,,,
Andre Iguodala,11131368,2016-17,,,,,
Larry Sanders,1865547,2016-17,,,,,
Chasson Randle,243860,2016-17,,,,,
Jason Terry,1551659,2016-17,,,,,
Davis Bertans,543471,2016-17,,,,,
Reggie Jackson,14956522,2016-17,,,,,
David Nwaba,137466,2016-17,,,,,
Ben Simmons,5903160,2016-17,,,,,
Solomon Hill,11241218,2016-17,,,,,
Damjan Rudez,980431,2016-17,,,,,
Lucas Nogueira,1921320,2016-17,,,,,
Rondae Hollis-Jefferson,1395600,2016-17,,,,,
Anthony Davis,22116750,2016-17,,,,,
Mike Miller,3500000,2016-17,,,,,
Justin Hamilton,3000000,2016-17,,,,,
Joel Embiid,4826160,2016-17,,,,,
Jahlil Okafor,4788840,2016-17,,,,,
Quincy Acy,1914544,2016-17,,,,,
Alan Anderson,1315448,2016-17,,,,,
Semaj Christon,543471,2016-17,,,,,
Mitch McGary,1526040,2016-17,,,,,
Larry Sanders,207722,2016-17,,,,,
Fred VanVleet,543471,2016-17,,,,,
George Hill,8000000,2016-17,,,,,
Alex Poythress,38903,2016-17,,,,,
Shelvin Mack,2433334,2016-17,,,,,
Zach Randolph,10361445,2016-17,,,,,
Jameer Nelson,4540525,2016-17,,,,,
Timofey Mozgov,16000000,2016-17,,,,,
Taurean Prince,2318280,2016-17,,,,,
Danny Green,10000000,2016-17,,,,,
Brandon Knight,12606250,2016-17,,,,,
Quincy Acy,1050961,2016-17,,,,,
Tiago Splitter,8550000,2016-17,,,,,
LeBron James,30963450,2016-17,,,,,
Trevor Ariza,7806971,2016-17,,,,,
David West,1551659,2016-17,,,,,
Deron Williams,9000000,2016-17,,,,,
Alex Poythress,35381,2016-17,,,,,
Tony Parker,14445313,2016-17,,,,,
Kenneth Faried,12078652,2016-17,,,,,
Allen Crabbe,18500000,2016-17,,,,,
Rodney McGruder,543471,2016-17,,,,,
Ron Baker,543471,2016-17,,,,,
Beno Udrih,1551659,2016-17,,,,,
DeAndre' Bembry,1499760,2016-17,,,,,
Marcus Smart,3578880,2016-17,,,,,
Montrezl Harrell,1045000,2016-17,,,,,
Rudy Gay,13333333,2016-17,,,,,
Sergio Rodriguez,8000000,2016-17,,,,,
Bruno Caboclo,1589640,2016-17,,,,,
Jordan Crawford,234915,2016-17,,,,,
Larry Nance Jr.,1207680,2016-17,,,,,
Kevon Looney,1182840,2016-17,,,,,
Malik Beasley,1627320,2016-17,,,,,
Corey Brewer,7600000,2016-17,,,,,
Anthony Bennett,1015696,2016-17,,,,,
Julius Randle,3267120,2016-17,,,,,
Sasha Kaun,1333420,2016-17,,,,,
Deron Williams,5500000,2016-17,,,,,
Mo Williams,2200000,2016-17,,,,,
Thon Maker,2568600,2016-17,,,,,
Mario Hezonja,3909840,2016-17,,,,,
Luc Mbah a Moute,2203000,2016-17,,,,,
Damian Lillard,24328425,2016-17,,,,,
K.J. McDaniels,3333333,2016-17,,,,,
Richaun Holmes,1025831,2016-17,,,,,
Mike Dunleavy,4837500,2016-17,,,,,
Tim Hardaway Jr.,2281605,2016-17,,,,,
Maurice Ndour,543471,2016-17,,,,,
Donatas Motiejunas,576724,2016-17,,,,,
Tony Wroten,25000,2016-17,,,,,
Deron Williams,259626,2016-17,,,,,
Jarrett Jack,1551659,2016-17,,,,,
Pau Gasol,15500000,2016-17,,,,,
Channing Frye,7806971,2016-17,,,,,
Ed Davis,6666667,2016-17,,,,,
Elijah Millsap,23069,2016-17,,,,,
Emmanuel Mudiay,3241800,2016-17,,,,,
Dragan Bender,4276320,2016-17,,,,,
Isaiah Thomas,6587132,2016-17,,,,,
Karl-Anthony Towns,5960160,2016-17,,,,,
Brandon Bass,1551659,2016-17,,,,,
James Jones,1551659,2016-17,,,,,
Wayne Ellington,6000000,2016-17,,,,,
Markieff Morris,7400000,2016-17,,,,,
Frank Kaminsky,2730000,2016-17,,,,,
Wilson Chandler,11200000,2016-17,,,,,
Andrew Bogut,11027027,2016-17,,,,,
Stephen Zimmerman,950000,2016-17,,,,,
Caron Butler,517220,2016-17,,,,,
Chris Bosh,23741060,2016-17,,,,,
Edy Tavares,1000000,2016-17,,,,,
Tim Frazier,2090000,2016-17,,,,,
Maurice Ndour,437318,2016-17,,,,,
Jarrett Jack,500000,2016-17,,,,,
Justin Anderson,1514160,2016-17,,,,,
Kevin Seraphin,1800000,2016-17,,,,,
Bojan Bogdanovic,3730653,2016-17,,,,,
Jonas Jerebko,5000000,2016-17,,,,,
DeMarre Carroll,14200000,2016-17,,,,,
Hollis Thompson,442126,2016-17,,,,,
Jakob Poeltl,2703960,2016-17,,,,,
Wayne Ellington,923670,2016-17,,,,,
Jerami Grant,980431,2016-17,,,,,
Kris Dunn,3872520,2016-17,,,,,
Patrick McCaw,543471,2016-17,,,,,
Andrew Bogut,242224,2016-17,,,,,
Isaiah Canaan,1015696,2016-17,,,,,
Paul Zipser,750000,2016-17,,,,,
Dahntay Jones,24022,2016-17,,,,,
Robbie Hummel,150000,2016-17,,,,,
Jeff Green,15000000,2016-17,,,,,
Steve Novak,1551659,2016-17,,,,,
Ian Mahinmi,15944154,2016-17,,,,,
Al Horford,26540100,2016-17,,,,,
Edy Tavares,5145,2016-17,,,,,
Jarrett Jack,91274,2016-17,,,,,
J.J. Redick,7377500,2016-17,,,,,
Noah Vonleh,2751360,2016-17,,,,,
Justin Harper,57672,2016-17,,,,,
Joe Johnson,11000000,2016-17,,,,,
Ersan Ilyasova,8400000,2016-17,,,,,
Tyler Ulis,918369,2016-17,,,,,
Darren Collison,5229454,2016-17,,,,,
John Lucas III,635753,2016-17,,,,,
Kawhi Leonard,17638063,2016-17,,,,,
Nikola Vucevic,11750000,2016-17,,,,,
Hollis Thompson,119494,2016-17,,,,,
Michael Gbinije,650000,2016-17,,,,,
Nikola Pekovic,12100000,2016-17,,,,,
Shabazz Napier,1350120,2016-17,,,,,
Jarnell Stokes,150000,2016-17,,,,,
Brian Roberts,1050961,2016-17,,,,,
Damian Jones,1171560,2016-17,,,,,
Thabo Sefolosha,3850000,2016-17,,,,,
Goran Dragic,15890000,2016-17,,,,,
Iman Shumpert,9700000,2016-17,,,,,
A.J. Hammons,650000,2016-17,,,,,
Devin Booker,2223600,2016-17,,,,,
Carmelo Anthony,24559380,2016-17,,,,,
D.J. Kennedy,50000,2016-17,,,,,
Doug McDermott,2483040,2016-17,,,,,
Diamond Stone,543471,2016-17,,,,,
Mike Conley,26540100,2016-17,,,,,
Sheldon Mac,543471,2016-17,,,,,
Jodie Meeks,6540000,2016-17,,,,,
Caris LeVert,1562280,2016-17,,,,,
LaMarcus Aldridge,20575005,2016-17,,,,,
Jose Calderon,7708427,2016-17,,,,,
Marco Belinelli,6333333,2016-17,,,,,
J.J. Barea,4096950,2016-17,,,,,
Jonathan Gibson,680937,2016-17,,,,,
Lou Amundson,1551659,2016-17,,,,,
Marreese Speights,1403611,2016-17,,,,,
Draymond Green,15330435,2016-17,,,,,
C.J. Miles,4583450,2016-17,,,,,
John Wall,16957900,2016-17,,,,,
Jerian Grant,1643040,2016-17,,,,,
Ivica Zubac,1034956,2016-17,,,,,
Jameel Warney,20000,2016-17,,,,,
Marvin Williams,12250000,2016-17,,,,,
John Henson,12517606,2016-17,,,,,
Quincy Pondexter,3617978,2016-17,,,,,
Jose Calderon,392478,2016-17,,,,,
Kevin Love,21165675,2016-17,,,,,
Tyler Johnson,5628000,2016-17,,,,,
J.R. Smith,12800000,2016-17,,,,,
Marcus Thornton,1315448,2016-17,,,,,
Ray McCallum,119494,2016-17,,,,,
Shabazz Muhammad,3046299,2016-17,,,,,
Kosta Koufos,8046500,2016-17,,,,,
Lance Stephenson,4000000,2016-17,,,,,
Henry Sims,75000,2016-17,,,,,
Garrett Temple,8000000,2016-17,,,,,
Nikola Mirotic,5782450,2016-17,,,,,
Terrence Jones,1050961,2016-17,,,,,
Isaiah Taylor,305000,2016-17,,,,,
John Jenkins,469841,2016-17,,,,,
Luis Scola,5000000,2016-17,,,,,
Malcolm Brogdon,925000,2016-17,,,,,
Hassan Whiteside,22116750,2016-17,,,,,
Johnny O'Bryant,276827,2016-17,,,,,
Jarrod Uthoff,63938,2016-17,,,,,
Austin Rivers,11000000,2016-17,,,,,
Ray McCallum,11949,2016-17,,,,,
Harrison Barnes,22116750,2016-17,,,,,
Evan Turner,16393443,2016-17,,,,,
Lance Stephenson,1227286,2016-17,,,,,
Jabari Parker,5374320,2016-17,,,,,
Jordan Adams,1465080,2016-17,,,,,
Rodney Stuckey,7000000,2016-17,,,,,
Glenn Robinson III,1050500,2016-17,,,,,
Kelly Oubre Jr.,2006640,2016-17,,,,,
Ian Clark,1015696,2016-17,,,,,
JaVale McGee,1403611,2016-17,,,,,
Cliff Alexander,51449,2016-17,,,,,
Terrence Jones,236457,2016-17,,,,,
Jae Crowder,6286408,2016-17,,,,,
Derrick Williams,4598000,2016-17,,,,,
C.J. Watson,5000000,2016-17,,,,,
Johnny O'Bryant,115344,2016-17,,,,,
Jerryd Bayless,9424084,2016-17,,,,,
Joe Ingles,2250000,2016-17,,,,,
Jarrod Uthoff,50000,2016-17,,,,,
Gorgui Dieng,2348783,2016-17,,,,,
Dante Cunningham,2978250,2016-17,,,,,
Jordan McRae,874636,2016-17,,,,,
Mike Scott,3333334,2016-17,,,,,
Marquese Chriss,2941440,2016-17,,,,,
Jeremy Lin,11483254,2016-17,,,,,
Alexis Ajinca,4600000,2016-17,,,,,
Lance Stephenson,144386,2016-17,,,,,
Blake Griffin,20140838,2016-17,,,,,
Cristiano Felicio,874636,2016-17,,,,,
Courtney Lee,11242000,2016-17,,,,,
Danilo Gallinari,15050000,2016-17,,,,,
Clint Capela,1296240,2016-17,,,,,
Salah Mejri,874636,2016-17,,,,,
Pascal Siakam,1196040,2016-17,,,,,
Troy Williams,543471,2016-17,,,,,
Derrick Williams,402043,2016-17,,,,,
Dejounte Murray,1180080,2016-17,,,,,
Seth Curry,2898000,2016-17,,,,,
Jordan Mickey,1223653,2016-17,,,,,
Arron Afflalo,12500000,2016-17,,,,,
Michael Kidd-Gilchrist,13000000,2016-17,,,,,
Manny Harris,119494,2016-17,,,,,
Thaddeus Young,14153652,2016-17,,,,,
Meyers Leonard,9213484,2016-17,,,,,
Marcelo Huertas,1500000,2016-17,,,,,
Spencer Hawes,6348759,2016-17,,,,,
Brandon Paul,155000,2016-17,,,,,
Miroslav Raduljica,300000,2016-17,,,,,
Luol Deng,18000000,2016-17,,,,,
Brook Lopez,21165675,2016-17,,,,,
Julyan Stone,50000,2016-17,,,,,
T.J. Warren,2128920,2016-17,,,,,
James Harden,26540100,2016-17,,,,,
Sam Dekker,1720560,2016-17,,,,,
Shaun Livingston,5782450,2016-17,,,,,
Tyus Jones,1339680,2016-17,,,,,
Boris Diaw,7000000,2016-17,,,,,
Gary Neal,72193,2016-17,,,,,
Troy Williams,181969,2016-17,,,,,
Udonis Haslem,4000000,2016-17,,,,,
Phil Pressey,35000,2016-17,,,,,
Jordan Farmar,510921,2016-17,,,,,
Roy Hibbert,5000000,2016-17,,,,,
Jeff Teague,8800000,2016-17,,,,,
Derrick Rose,21323250,2016-17,,,,,
Bobby Portis,1453680,2016-17,,,,,
Damion Lee,50000,2016-17,,,,,
Enes Kanter,17145838,2016-17,,,,,
Nicolas Laprovittola,210995,2016-17,,,,,
Yogi Ferrell,239767,2016-17,,,,,
Ben McLemore,4008882,2016-17,,,,,
Anthony Tolliver,8000000,2016-17,,,,,
Manu Ginobili,14000000,2016-17,,,,,
Jamal Murray,3210840,2016-17,,,,,
Joakim Noah,17000000,2016-17,,,,,
Trevor Booker,9250000,2016-17,,,,,
Jrue Holiday,11286518,2016-17,,,,,
Jordan Farmar,82979,2016-17,,,,,
Carlos Delfino,650000,2016-17,,,,,
Josh Huestis,1191480,2016-17,,,,,
Avery Bradley,8269663,2016-17,,,,,
Kyle Singler,4837500,2016-17,,,,,
Okaro White,374933,2016-17,,,,,
Juan Hernangomez,1987440,2016-17,,,,,
Yogi Ferrell,202300,2016-17,,,,,
Nicolas Brussino,543471,2016-17,,,,,
Willie Reed,1015696,2016-17,,,,,
Patricio Garino,100000,2016-17,,,,,
Reggie Bullock,2255644,2016-17,,,,,
Patrick Beverley,6000000,2016-17,,,,,
Eric Gordon,12385364,2016-17,,,,,
Spencer Dinwiddie,726672,2016-17,,,,,
Paul Millsap,20072033,2016-17,,,,,
Yi Jianlian,250000,2016-17,,,,,
Rudy Gobert,2121288,2016-17,,,,,
Kelly Olynyk,3094014,2016-17,,,,,
Carl Landry,6500000,2016-17,,,,,
Langston Galloway,5200000,2016-17,,,,,
Jared Sullinger,5628000,2016-17,,,,,
E'Twaun Moore,8081363,2016-17,,,,,
Dion Waiters,2898000,2016-17,,,,,
Patricio Garino,31969,2016-17,,,,,
Ty Lawson,1315448,2016-17,,,,,
Brandon Ingram,5281680,2016-17,,,,,
Kristaps Porzingis,4317720,2016-17,,,,,
Russell Westbrook,26540100,2016-17,,,,,
Rashad Vaughn,1811040,2016-17,,,,,
Bobby Brown,934293,2016-17,,,,,
Sasha Vujacic,1410598,2016-17,,,,,
Jason Thompson,945126,2016-17,,,,,
Michael Beasley,1403611,2016-17,,,,,
Gal Mekel,315760,2016-17,,,,,
D'Angelo Russell,5332800,2016-17,,,,,
Jimmy Butler,17552209,2016-17,,,,,
Willy Hernangomez,1375000,2016-17,,,,,
Dario Saric,2318280,2016-17,,,,,
Chandler Parsons,22116750,2016-17,,,,,
Khris Middleton,15200000,2016-17,,,,,
Thomas Robinson,1050961,2016-17,,,,,
Tibor Pleiss,3000000,2016-17,,,,,
Brandan Wright,5700000,2016-17,,,,,
Lavoy Allen,4000000,2016-17,,,,,
Aron Baynes,6500000,2016-17,,,,,
Kemba Walker,12000000,2016-17,,,,,
Kevin Garnett,8000000,2016-17,,,,,
Kevin Martin,1360305,2016-17,,,,,
Rodney Hood,1406520,2016-17,,,,,
Serge Ibaka,12250000,2016-17,,,,,
Michael Beasley,777777,2016-17,,,,,
Dwight Howard,23180275,2016-17,,,,,
Tony Snell,2368327,2016-17,,,,,
Victor Oladipo,6552960,2016-17,,,,,
Mindaugas Kuzminskas,2898000,2016-17,,,,,
Dante Exum,3940320,2016-17,,,,,
Bismack Biyombo,17000000,2016-17,,,,,
Joe Young,1052342,2016-17,,,,,
Brandon Jennings,4837318,2016-17,,,,,
Anderson Varejao,1984005,2016-17,,,,,
Jarell Martin,1286160,2016-17,,,,,
D.J. Augustin,7250000,2016-17,,,,,
Sean Kilpatrick,980431,2016-17,,,,,
Justin Holiday,1015696,2016-17,,,,,
Jake Layman,600000,2016-17,,,,,
Cory Joseph,7330000,2016-17,,,,,
Jonathon Simmons,874636,2016-17,,,,,
Tim Duncan,1881250,2016-17,,,,,
Timothe Luwawu-Cabarrot,1326960,2016-17,,,,,
Alex Abrines,5994764,2016-17,,,,,
Paul Pierce,3500000,2016-17,,,,,
Arinze Onuaku,440078,2016-17,,,,,
Alonzo Gee,1400000,2016-17,,,,,
Richard Jefferson,2500000,2016-17,,,,,
Justise Winslow,2593440,2016-17,,,,,
Marc Gasol,21165675,2016-17,,,,,
Maurice Harkless,8988764,2016-17,,,,,
Ryan Kelly,418228,2016-17,,,,,
Brandon Jennings,1200000,2016-17,,,,,
Anderson Varejao,1551659,2016-17,,,,,
Terry Rozier,1906440,2016-17,,,,,
Bryn Forbes,543471,2016-17,,,,,
Jonas Valanciunas,14382022,2016-17,,,,,
Cody Zeller,5318313,2016-17,,,,,
Chinanu Onuaku,543471,2016-17,,,,,
Alonzo Gee,495227,2016-17,,,,,
Skal Labissiere,1188840,2016-17,,,,,
Paul George,18314532,2016-17,,,,,
Kentavious Caldwell-Pope,3678319,2016-17,,,,,
Alex Len,4823621,2016-17,,,,,
Andrea Bargnani,323599,2016-17,,,,,
Jeremy Evans,1227286,2016-17,,,,,
Stephen Curry,12112359,2016-17,,,,,
Aaron Brooks,2700000,2016-17,,,,,
Ramon Sessions,6000000,2016-17,,,,,
Shawn Long,96969,2016-17,,,,,
Taj Gibson,8950000,2016-17,,,,,
Boban Marjanovic,7000000,2016-17,,,,,
Darrell Arthur,8070175,2016-17,,,,,
Mike Muscala,1015696,2016-17,,,,,
Dwight Powell,8375000,2016-17,,,,,
Pat Connaughton,874636,2016-17,,,,,
Keith Benson,75000,2016-17,,,,,
Wayne Selden,83119,2016-17,,,,,
Archie Goodwin,2094089,2016-17,,,,,
Nemanja Bjelica,3800000,2016-17,,,,,
James Johnson,4000000,2016-17,,,,,
Devin Harris,4228000,2016-17,,,,,
Rajon Rondo,14000000,2016-17,,,,,
Patty Mills,3578948,2016-17,,,,,
Kyle Lowry,12000000,2016-17,,,,,
Chris McCullough,1191480,2016-17,,,,,
Chris Wright,100000,2016-17,,,,,
Raul Neto,937800,2016-17,,,,,
Nick Collison,3750000,2016-17,,,,,
Josh McRoberts,5782450,2016-17,,,,,
DeMar DeRozan,26540100,2016-17,,,,,
Wayne Selden,31969,2016-17,,,,,
Archie Goodwin,194494,2016-17,,,,,
Jordan Clarkson,12500000,2016-17,,,,,
Tristan Thompson,15330435,2016-17,,,,,
Martell Webster,830000,2016-17,,,,,
Elliot Williams,250000,2016-17,,,,,
Lamar Patterson,525093,2015-16,,,,,
Trey Burke,2658240,2015-16,,,,,
Jason Smith,4300000,2015-16,,,,,
Delon Wright,1509360,2015-16,,,,,
Alan Williams,114285,2015-16,,,,,
J.J. Hickson,366337,2015-16,,,,,
Mirza Teletovic,5500000,2015-16,,,,,
Tobias Harris,16000000,2015-16,,,,,
Chris Andersen,5000000,2015-16,,,,,
Gerald Green,1356000,2015-16,,,,,
Ronnie Price,1499187,2015-16,,,,,
Tyreke Evans,11227000,2015-16,,,,,
Toney Douglas,600000,2015-16,,,,,
Josh Smith,1499000,2015-16,,,,,
Gerald Henderson,6000000,2015-16,,,,,
Willie Cauley-Stein,3398280,2015-16,,,,,
Nick Johnson,845059,2015-16,,,,,
Terrence Ross,3553917,2015-16,,,,,
James Ennis,845059,2015-16,,,,,
Pierre Jackson,750000,2015-16,,,,,
Giannis Antetokounmpo,1953960,2015-16,,,,,
DeAndre Jordan,19500000,2015-16,,,,,
Andre Drummond,3272091,2015-16,,,,,
Kent Bazemore,2000000,2015-16,,,,,
Kyrie Irving,14746000,2015-16,,,,,
Brandon Rush,1270964,2015-16,,,,,
Anthony Morrow,3344000,2015-16,,,,,
Aaron Gray,452059,2015-16,,,,,
James Ennis,74564,2015-16,,,,,
P.J. Tucker,5500000,2015-16,,,,,
Evan Fournier,2288205,2015-16,,,,,
Dirk Nowitzki,8333334,2015-16,,,,,
DeMarcus Cousins,14728844,2015-16,,,,,
Metta World Peace,1499187,2015-16,,,,,
Gary Harris,1587480,2015-16,,,,,
O.J. Mayo,8000000,2015-16,,,,,
Wesley Johnson,1100600,2015-16,,,,,
Ricky Rubio,12365000,2015-16,,,,,
Shayne Whittington,845059,2015-16,,,,,
Norris Cole,3036927,2015-16,,,,,
Matt Barnes,3542500,2015-16,,,,,
Leandro Barbosa,2500000,2015-16,,,,,
Dennis Schroder,1763400,2015-16,,,,,
Kevin Durant,20158622,2015-16,,,,,
T.J. McConnell,525093,2015-16,,,,,
Jeff Withey,947276,2015-16,,,,,
Aaron Gordon,4171680,2015-16,,,,,
Jarell Eddie,561716,2015-16,,,,,
Tyson Chandler,13000000,2015-16,,,,,
Tyler Zeller,2616975,2015-16,,,,,
Klay Thompson,15500000,2015-16,,,,,
Raymond Felton,3950313,2015-16,,,,,
David Lee,15493680,2015-16,,,,,
Tony Allen,5168539,2015-16,,,,,
Andrew Nicholson,2380594,2015-16,,,,,
Ish Smith,1100602,2015-16,,,,,
Lance Thomas,1650000,2015-16,,,,,
Festus Ezeli,2008748,2015-16,,,,,
Joffrey Lauvergne,1709720,2015-16,,,,,
Thanasis Antetokounmpo,105888,2015-16,,,,,
Otto Porter,4662960,2015-16,,,,,
Al-Farouq Aminu,7500000,2015-16,,,,,
Andrew Wiggins,5758680,2015-16,,,,,
Jamal Crawford,5675000,2015-16,,,,,
Aaron Harrison,525093,2015-16,,,,,
JaMychal Green,845059,2015-16,,,,,
Chris Paul,21468696,2015-16,,,,,
Cole Aldrich,1100600,2015-16,,,,,
Zaza Pachulia,5200000,2015-16,,,,,
David Lee,2102224,2015-16,,,,,
Sergey Karasev,1599840,2015-16,,,,,
Gordon Hayward,15409570,2015-16,,,,,
Michael Carter-Williams,2399040,2015-16,,,,,
Tarik Black,845059,2015-16,,,,,
Mario Chalmers,4300000,2015-16,,,,,
Jordan Hill,4000000,2015-16,,,,,
Nerlens Noel,3457800,2015-16,,,,,
Jeremy Lamb,3034356,2015-16,,,,,
Josh Richardson,525093,2015-16,,,,,
Miles Plumlee,2109294,2015-16,,,,,
Matthew Dellavedova,1147280,2015-16,,,,,
Wesley Matthews,16400000,2015-16,,,,,
Steve Blake,2170465,2015-16,,,,,
Andre Roberson,1210800,2015-16,,,,,
Jon Leuer,1035000,2015-16,,,,,
Omer Asik,11000000,2015-16,,,,,
Jared Dudley,4250000,2015-16,,,,,
Orlando Johnson,55722,2015-16,,,,,
Tyler Ennis,1662360,2015-16,,,,,
Kendall Marshall,2144722,2015-16,,,,,
Joe Harris,845059,2015-16,,,,,
Nick Young,5219169,2015-16,,,,,
Nikola Jokic,1300000,2015-16,,,,,
Axel Toupane,123552,2015-16,,,,,
Joey Dorsey,1015421,2015-16,,,,,
Marcin Gortat,11217391,2015-16,,,,,
Derrick Favors,11933333,2015-16,,,,,
Marcus Morris,5000000,2015-16,,,,,
Luke Babbitt,1100000,2015-16,,,,,
Orlando Johnson,55722,2015-16,,,,,
Norman Powell,650000,2015-16,,,,,
Kris Humphries,4600000,2015-16,,,,,
Elfrid Payton,2505720,2015-16,,,,,
Troy Daniels,947276,2015-16,,,,,
Jusuf Nurkic,1842000,2015-16,,,,,
Robert Covington,1000000,2015-16,,,,,
Nicolas Batum,12235750,2015-16,,,,,
Greivis Vasquez,6600000,2015-16,,,,,
Axel Toupane,25000,2015-16,,,,,
Nazr Mohammed,352750,2015-16,,,,,
Alec Burks,9213484,2015-16,,,,,
Ryan Hollins,593056,2015-16,,,,,
Omri Casspi,3000000,2015-16,,,,,
Bradley Beal,5694674,2015-16,,,,,
Joel Anthony,2500000,2015-16,,,,,
Al Jefferson,13833333,2015-16,,,,,
Kirk Hinrich,2870000,2015-16,,,,,
