playerName,salary,season,,,,,
Derrick Jones,9258000,2020-2021,,,,,
Derrick Favors,9258000,2020-2021,,,,,
Dario Saric,9250000,2020-2021,,,,,
Ja Morant,9166800,2020-2021,,,,,
Delon Wright,9000000,2020-2021,,,,,
Marvin Bagley,8963640,2020-2021,,,,,
Cedi Osman,8840580,2020-2021,,,,,
Tyus Jones,8817143,2020-2021,,,,,
James Wiseman,8730240,2020-2021,,,,,
Royce O'Neale,8500000,2020-2021,,,,,
Thomas Bryant,8333333,2020-2021,,,,,
Maxi Kleber,8325000,2020-2021,,,,,
RJ Barrett,8231760,2020-2021,,,,,
Jakob Poeltl,8101852,2020-2021,,,,,
De'Aaron Fox,8099627,2020-2021,,,,,
Luka Doncic,8049360,2020-2021,,,,,
Mason Plumlee,8000000,2020-2021,,,,,
Louis Williams,8000000,2020-2021,,,,,
PJ Tucker,7969537,2020-2021,,,,,
LaMelo Ball,7839960,2020-2021,,,,,
Seth Curry,7834449,2020-2021,,,,,
Derrick Rose,7682926,2020-2021,,,,,
Cristiano Felicio,7529020,2020-2021,,,,,
Rajon Rondo,7500000,2020-2021,,,,,
De'Andre Hunter,7422000,2020-2021,,,,,
Jonathan Isaac,7362565,2020-2021,,,,,
Doug McDermott,7333333,2020-2021,,,,,
Robin Lopez,7300000,2020-2021,,,,,
Jaren Jackson,7257360,2020-2021,,,,,
JaMychal Green,7199760,2020-2021,,,,,
Nemanja Bjelica,7150000,2020-2021,,,,,
Patrick Williams,7068360,2020-2021,,,,,
Ivica Zubac,7000000,2020-2021,,,,,
Aron Baynes,7000000,2020-2021,,,,,
Darius Miller,7000000,2020-2021,,,,,
Lauri Markkanen,6731508,2020-2021,,,,,
Darius Garland,6720720,2020-2021,,,,,
DJ Augustin,6666667,2020-2021,,,,,
Trae Young,6571800,2020-2021,,,,,
Chris Boucher,6500000,2020-2021,,,,,
Jabari Parker,6500000,2020-2021,,,,,
Juan Hernangomez,6493000,2020-2021,,,,,
Joakim Noah,6431666,2020-2021,,,,,
Isaac Okoro,6400920,2020-2021,,,,,
Frank Ntilikina,6176578,2020-2021,,,,,
DeMarre Carroll,6119676,2020-2021,,,,,
Jarrett Culver,6104280,2020-2021,,,,,
Alec Burks,6000000,2020-2021,,,,,
Ishmael Smith,6000000,2020-2021,,,,,
Mo Bamba,5969040,2020-2021,,,,,
Onyeka Okongwu,5813640,2020-2021,,,,,
Justin Holiday,5720400,2020-2021,,,,,
Dennis Smith,5686677,2020-2021,,,,,
Avery Bradley,5635000,2020-2021,,,,,
Timofey Mozgov,5573333,2020-2021,,,,,
Coby White,5572680,2020-2021,,,,,
Trey Lyles,5500000,2020-2021,,,,,
Wendell Carter,5448840,2020-2021,,,,,
Zach Collins,5406255,2020-2021,,,,,
Malik Monk,5345687,2020-2021,,,,,
Killian Hayes,5307120,2020-2021,,,,,
Luke Kennard,5273826,2020-2021,,,,,
Ryan Anderson,5214583,2020-2021,,,,,
Donovan Mitchell,5195501,2020-2021,,,,,
Rodney McGruder,5192307,2020-2021,,,,,
Bam Adebayo,5115492,2020-2021,,,,,
Jaxson Hayes,5105160,2020-2021,,,,,
Justin Jackson,5029650,2020-2021,,,,,
Ed Davis,5005350,2020-2021,,,,,
Mike Scott,5005350,2020-2021,,,,,
Enes Kanter,5005350,2020-2021,,,,,
Richaun Holmes,5005350,2020-2021,,,,,
Luol Deng,5000000,2020-2021,,,,,
Daniel Theis,5000000,2020-2021,,,,,
Nerlens Noel,5000000,2020-2021,,,,,
Collin Sexton,4991880,2020-2021,,,,,
Pat Connaughton,4938273,2020-2021,,,,,
Obi Toppin,4862040,2020-2021,,,,,
Kevon Looney,4821429,2020-2021,,,,,
Kris Dunn,4767000,2020-2021,,,,,
Josh Jackson,4767000,2020-2021,,,,,
Garrett Temple,4767000,2020-2021,,,,,
Elfrid Payton,4767000,2020-2021,,,,,
Rui Hachimura,4692840,2020-2021,,,,,
Denzel Valentine,4642800,2020-2021,,,,,
Kevin Knox,4588680,2020-2021,,,,,
DJ Wilson,4548280,2020-2021,,,,,
Deni Avdija,4469160,2020-2021,,,,,
Cam Reddish,4458000,2020-2021,,,,,
Mikal Bridges,4359000,2020-2021,,,,,
TJ Leaf,4326825,2020-2021,,,,,
Jalen Smith,4245720,2020-2021,,,,,
Cameron Johnson,4235160,2020-2021,,,,,
JaVale McGee,4200000,2020-2021,,,,,
Reggie Bullock,4200000,2020-2021,,,,,
Shai Gilgeous-Alexander,4141320,2020-2021,,,,,
John Collins,4137302,2020-2021,,,,,
Willie Cauley-Stein,4100000,2020-2021,,,,,
Devin Vassell,4033440,2020-2021,,,,,
PJ Washington,4023600,2020-2021,,,,,
Dorian Finney-Smith,4000000,2020-2021,,,,,
Patrick McCaw,4000000,2020-2021,,,,,
Alex Len,3970648,2020-2021,,,,,
Terrance Ferguson,3944013,2020-2021,,,,,
Miles Bridges,3934320,2020-2021,,,,,
Jevon Carter,3925000,2020-2021,,,,,
Jarrett Allen,3909902,2020-2021,,,,,
Nicolo Melli,3897436,2020-2021,,,,,
OG Anunoby,3872215,2020-2021,,,,,
Tyrese Haliburton,3831840,2020-2021,,,,,
Tyler Herro,3822240,2020-2021,,,,,
Patrick Patterson,3814771,2020-2021,,,,,
Stanley Johnson,3804150,2020-2021,,,,,
Jake Layman,3761085,2020-2021,,,,,
Jerome Robinson,3737520,2020-2021,,,,,
Danuel House,3717000,2020-2021,,,,,
Kira Lewis,3640200,2020-2021,,,,,
Romeo Langford,3631200,2020-2021,,,,,
Bobby Portis,3623000,2020-2021,,,,,
Wesley Matthews,3623000,2020-2021,,,,,
Moe Harkless,3623000,2020-2021,,,,,
Wayne Ellington,3564753,2020-2021,,,,,
Kyle Kuzma,3562178,2020-2021,,,,,
Michael Porter,3550800,2020-2021,,,,,
Tony Bradley,3542060,2020-2021,,,,,
Derrick White,3516284,2020-2021,,,,,
Bismack Biyombo,3500000,2020-2021,,,,,
Boban Marjanovic,3500000,2020-2021,,,,,
TJ McConnell,3500000,2020-2021,,,,,
Austin Rivers,3500000,2020-2021,,,,,
Josh Hart,3491159,2020-2021,,,,,
Aaron Nesmith,3458400,2020-2021,,,,,
Sekou Doumbouya,3449400,2020-2021,,,,,
Dewayne Dedmon,3447478,2020-2021,,,,,
Khem Birch,3425463,2020-2021,,,,,
Troy Brown,3372840,2020-2021,,,,,
Jeff Teague,3372826,2020-2021,,,,,
Michael Carter-Williams,3300000,2020-2021,,,,,
James Ennis,3300000,2020-2021,,,,,
Cole Anthony,3285120,2020-2021,,,,,
Taj Gibson,3283684,2020-2021,,,,,
Facundo Campazzo,3200000,2020-2021,,,,,
Jon Leuer,3169348,2020-2021,,,,,
Isaiah Stewart,3121080,2020-2021,,,,,
Chuma Okeke,3121080,2020-2021,,,,,
Nickeil Alexander-Walker,3113160,2020-2021,,,,,
Donte DiVincenzo,3044160,2020-2021,,,,,
Trey Burke,3000000,2020-2021,,,,,
Ryan Arcidiacono,3000000,2020-2021,,,,,
Aleksej Pokusevski,2964840,2020-2021,,,,,
Goga Bitadze,2957520,2020-2021,,,,,
Lonnie Walker,2895720,2020-2021,,,,,
Ben McLemore,2893630,2020-2021,,,,,
Andrew Nicholson,2844429,2020-2021,,,,,
Luka Samanic,2824320,2020-2021,,,,,
Josh Green,2816760,2020-2021,,,,,
Kevin Huerter,2761920,2020-2021,,,,,
Alex Caruso,2750000,2020-2021,,,,,
Marko Guduric,2750000,2020-2021,,,,,
Matisse Thybulle,2711280,2020-2021,,,,,
Saddiq Bey,2689920,2020-2021,,,,,
Josh Okogie,2651040,2020-2021,,,,,
Vincent Poirier,2619207,2020-2021,,,,,
Brandon Clarke,2602920,2020-2021,,,,,
Precious Achiuwa,2582160,2020-2021,,,,,
Marc Gasol,2564753,2020-2021,,,,,
Jeff Green,2564753,2020-2021,,,,,
Jose Juan Barea,2564753,2020-2021,,,,,
Jared Dudley,2564753,2020-2021,,,,,
Udonis Haslem,2564753,2020-2021,,,,,
Dwight Howard,2564753,2020-2021,,,,,
Carmelo Anthony,2564753,2020-2021,,,,,
Grayson Allen,2545320,2020-2021,,,,,
DeMarcus Cousins,2507261,2020-2021,,,,,
Grant Williams,2498760,2020-2021,,,,,
Tyrese Maxey,2478840,2020-2021,,,,,
Chandler Hutchison,2443440,2020-2021,,,,,
Darius Bazley,2399160,2020-2021,,,,,
Zeke Nnaji,2379840,2020-2021,,,,,
Aaron Holiday,2345640,2020-2021,,,,,
Bryn Forbes,2337145,2020-2021,,,,,
Reggie Jackson,2331593,2020-2021,,,,,
Markieff Morris,2331593,2020-2021,,,,,
E'Twaun Moore,2331593,2020-2021,,,,,
Kent Bazemore,2320044,2020-2021,,,,,
Hassan Whiteside,2320044,2020-2021,,,,,
Ty Jerome,2303040,2020-2021,,,,,
Mike Muscala,2283034,2020-2021,,,,,
Anfernee Simons,2252040,2020-2021,,,,,
Luke Kornet,2250000,2020-2021,,,,,
Brad Wanamaker,2250000,2020-2021,,,,,
Monta Ellis,2245400,2020-2021,,,,,
Nassir Little,2210640,2020-2021,,,,,
RJ Hampton,2193480,2020-2021,,,,,
Mfiondu Kabengele,2174900,2020-2021,,,,,
Solomon Hill,2174318,2020-2021,,,,,
Matthew Dellavedova,2174318,2020-2021,,,,,
Moritz Wagner,2161920,2020-2021,,,,,
Edmond Sumner,2160000,2020-2021,,,,,
Dylan Windler,2137440,2020-2021,,,,,
Immanuel Quickley,2105520,2020-2021,,,,,
John Konchar,2100000,2020-2021,,,,,
Landry Shamet,2090040,2020-2021,,,,,
Jordan Poole,2063280,2020-2021,,,,,
Bol Bol,2058240,2020-2021,,,,,
Keldon Johnson,2048040,2020-2021,,,,,
Payton Pritchard,2035800,2020-2021,,,,,
Robert Williams,2029920,2020-2021,,,,,
Bruno Caboclo,2028594,2020-2021,,,,,
Tyler Johnson,2028594,2020-2021,,,,,
Langston Galloway,2028594,2020-2021,,,,,
Jacob Evans,2017320,2020-2021,,,,,
Spencer Hawes,2007058,2020-2021,,,,,
Dzanan Musa,2002800,2020-2021,,,,,
Gary Clark,2000000,2020-2021,,,,,
Damyean Dotson,2000000,2020-2021,,,,,
Theo Maledon,2000000,2020-2021,,,,,
Kenrich Williams,2000000,2020-2021,,,,,
Omari Spellman,1988280,2020-2021,,,,,
Mario Hezonja,1977011,2020-2021,,,,,
Cameron Payne,1977011,2020-2021,,,,,
Udoka Azubuike,1977000,2020-2021,,,,,
Jaden McDaniels,1964760,2020-2021,,,,,
Malachi Flynn,1950600,2020-2021,,,,,
Desmond Bane,1936440,2020-2021,,,,,
Anderson Varejao,1913345,2020-2021,,,,,
Jontay Porter,1900000,2020-2021,,,,,
Jahlil Okafor,1882867,2020-2021,,,,,
JaKarr Sampson,1882867,2020-2021,,,,,
Raul Neto,1882867,2020-2021,,,,,
Larry Sanders,1865546,2020-2021,,,,,
Timothe Luwawu,1824003,2020-2021,,,,,
David Nwaba,1824003,2020-2021,,,,,
